#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
1371,здоровье нации ростов на дону,70%,нет,31%,-1,
1372,гастроэнтеролог симферополь,0%,нет,40%,0,
1373,семья уфа медицинский центр,70%,нет,42%,0,
1374,стоматология выборг,100%,нет,62%,0,
1375,нижний новгород ниито,100%,нет,63%,0,
1376,железнодорожная больница новосибирск платные услуги цены,80%,нет,98%,1,
1377,сургут альфа доктор,80%,нет,0%,-1,
1378,авеста ковров,30%,да,23%,-1,
1379,отзывы гинеколог,100%,да,52%,0,
1380,19 пнд,50%,да,0%,-1,
1381,тюмень поликлиника 13,40%,нет,29%,-1,
1382,стоматология в железнодорожном,80%,нет,66%,1,
1383,поликлиника 71 детская,63%,да,38%,0,
1384,кардиолог екатеринбург,100%,нет,58%,0,
1385,про докторов смоленск,80%,нет,42%,0,
1386,поликлиника 1 волгоград тракторозаводский,90%,нет,49%,0,
1387,воронеж женская консультация,90%,нет,64%,0,
1388,стоматология детская вилонова калуга,70%,нет,52%,0,
1389,киров невролог,100%,нет,81%,1,
1390,терапевт нижний новгород,90%,нет,63%,0,
1391,гранд медика новокузнецк телефон,100%,нет,69%,1,
1392,пермь правила жизни,50%,нет,37%,0,
1393,гастроэнтеролог ростов на дону,100%,нет,50%,0,
1394,про докторов сочи,80%,нет,49%,0,
1395,тамбов стоматология на московской,100%,нет,49%,0,
1396,челябинск проктолог,100%,нет,73%,1,
1397,коломна стоматология,100%,нет,64%,0,
1398,косметолог краснодар,100%,нет,62%,0,
1399,кстово стоматология,90%,нет,78%,1,
1400,эксперт узи,30%,да,27%,-1,
1401,санкт петербург уролог,100%,нет,57%,0,
1402,волгоград роддом 2,70%,нет,35%,0,
1403,клиника семейная шаховская,0%,нет,48%,0,
1404,междуреченск стоматология,100%,нет,69%,1,
1405,детский доктор владивосток,80%,нет,57%,0,
1406,воронеж терапевт,100%,нет,64%,0,
1407,фдгс,20%,да,22%,-1,
1408,центр профилактики и диагностики,30%,да,0%,-1,
1409,пульмонологи,80%,да,42%,0,
1410,пенза эндокринолог,100%,нет,63%,0,
1411,сочи гинеколог,100%,нет,78%,1,
1412,курск стоматолог,90%,нет,59%,0,
1413,новогиреево мать и дитя,0%,нет,8%,-1,
1414,медицинский центр пангея,0%,нет,33%,-1,
1415,психолог владивосток,100%,нет,75%,1,
1416,волгоград детский невролог,100%,нет,78%,1,
1417,поликлиника котлас,90%,нет,63%,0,
1418,саранск поликлиника 15,80%,нет,0%,-1,
1419,тюмень эндокринолог,100%,нет,66%,1,
1420,медгарант железнодорожный медицинский центр цены на услуги,40%,нет,78%,1,
1421,поликлиника звенигород,100%,нет,63%,0,
1422,гастроэнтеролог ижевск,90%,нет,80%,1,
1423,поликлиника 49,90%,да,50%,0,
1424,стоматология можайск,100%,нет,69%,1,
1425,флюорография омск,100%,нет,72%,1,
1426,жемчужина здоровья,10%,да,19%,-1,
1427,стоматолог уфа,90%,нет,66%,1,
1428,стоматология милана ярославль,90%,нет,62%,0,
1429,диагност армавир,90%,нет,50%,0,
1430,платон армавир,100%,нет,59%,0,
1431,феодосия медлайф,0%,нет,19%,-1,
1432,калуга продокторов,90%,нет,49%,0,
1433,роддом 27 москва,60%,нет,29%,-1,
1434,детский психолог нижний новгород,90%,нет,50%,0,
1435,взрослый невролог уфа,100%,нет,66%,1,
1436,барнаул гастроэнтеролог,100%,нет,73%,1,
1437,эндокринолог белгород,100%,нет,58%,0,
1438,краснодар ревматолог,90%,нет,58%,0,
1439,нейрохирург санкт петербург,90%,нет,59%,0,
1440,пнд сургут,60%,нет,36%,0,
1441,дерматолог тверь,100%,нет,73%,1,
1442,флеболог уфа,90%,нет,50%,0,
1443,эндокринолог волгоград,90%,нет,74%,1,
1444,медэксперт новая усмань,90%,нет,79%,1,
1445,ачинск женская консультация,80%,нет,0%,-1,
1446,альтермед нефтеюганск,80%,нет,50%,0,
1447,новороссийск поликлиника 1,90%,нет,49%,0,
1448,терапевт новосибирск,100%,нет,57%,0,
1449,рязань стоматология семашко,60%,нет,45%,0,
1450,ортодонт самара,100%,нет,50%,0,
1451,саратов психотерапевт,100%,нет,93%,1,
1452,томск поликлиника 1,90%,нет,63%,0,
1453,2 детская поликлиника кемерово,80%,нет,0%,-1,
1454,стоматология нижний новгород автозаводский район,90%,нет,62%,0,
1455,пятигорск платная поликлиника на московской,100%,нет,66%,1,
1456,сафоново пульсфарма,60%,нет,39%,0,
1457,флюорография самара,100%,нет,84%,1,
1458,л мед на токарева тула,100%,нет,74%,1,
1459,брянск центр планирования семьи и репродукции,70%,нет,42%,0,
1460,маммолог химки,90%,нет,73%,1,
1461,пульмонолог казань,100%,нет,63%,0,
1462,регистратура киров,100%,нет,80%,1,
1463,трихолог красноярск,100%,нет,74%,1,
1464,курск гастроэнтеролог,90%,нет,80%,1,
1465,мрт нижний тагил,100%,нет,60%,0,
1466,про докторов нижний,0%,нет,3%,-1,
1467,ювентус новосибирск,100%,нет,65%,0,
1468,эндокринолог ульяновск,100%,нет,66%,1,
1469,стоматология барнаул детская,100%,нет,81%,1,
1470,уролог иваново,100%,нет,90%,1,
1471,калуга поликлиника 5,70%,нет,50%,0,
1472,клиника надежные руки краснодар,50%,нет,36%,0,
1473,педиатр краснодар,100%,нет,78%,1,
1474,кузнецк клиника сити,100%,нет,74%,1,
1475,детская поликлиника номер 2,70%,да,0%,-1,
1476,набережные челны центр слуха,0%,нет,19%,-1,
1477,оренбург гастроэнтеролог,90%,нет,58%,0,
1478,сонар улан удэ,80%,нет,50%,0,
1479,психолог екатеринбург детский,100%,нет,56%,0,
1480,лор детский казань,100%,нет,78%,1,
1481,поликлиника подлипки коломна,90%,нет,0%,-1,
1482,ростов на дону стоматология на пушкинской,100%,нет,73%,1,
1483,республиканская больница уфа детская,60%,нет,21%,-1,
1484,воронеж психиатр,100%,нет,95%,1,
1485,бердск стоматология,100%,нет,81%,1,
1486,екатеринбург терапевт,100%,нет,63%,0,
1487,красноярск кардиолог,90%,нет,50%,0,
1488,мурманск гинеколог,100%,нет,90%,1,
1489,взрослая поликлиника наро фоминск,100%,нет,0%,-1,
1490,новокузнецк невролог,100%,нет,64%,0,
1491,терапевт рязань,100%,нет,77%,1,
1492,ставрополь дерматолог,100%,нет,65%,0,
1493,воронеж детская поликлиника 6,80%,нет,0%,-1,
1494,балахна практика,70%,нет,54%,0,
1495,эндокринолог отзывы,100%,да,64%,0,
1496,врачи 33,60%,да,30%,-1,
1497,новороссийск больница моряков,50%,нет,35%,0,
1498,омск 1 роддом,50%,нет,21%,-1,
1499,маммолог пенза,100%,нет,94%,1,
1500,стоматология рязань 4,80%,нет,57%,0,
1501,стоматолог тула,100%,нет,77%,1,
1502,уфа 4 роддом,60%,нет,0%,-1,
1503,чебоксары невролог,100%,нет,74%,1,
1504,краснодар женская консультация 2,90%,нет,56%,0,
1505,гларус в мурманске цены на услуги,70%,нет,83%,1,
1506,невролог набережные челны,10%,да,20%,-1,
1507,орск здоровая семья,90%,нет,57%,0,
1508,павловская црб,40%,да,37%,0,
1509,про докторов севастополь,0%,нет,38%,0,
1510,узи плюс смоленск попова,70%,нет,52%,0,
1511,астрахань локохелп,60%,нет,57%,0,
1512,мрт в барнауле адреса и цены,100%,нет,75%,1,
1513,будь здоров кореновск,80%,нет,0%,-1,
1514,колибри тамбов стоматология,70%,нет,54%,0,
1515,эндокринолог тверь,100%,нет,88%,1,
1516,тюмень проктолог,100%,нет,73%,1,
1517,калуга дерматолог,90%,нет,56%,0,
1518,будь здоров краснодар клиника,90%,нет,65%,0,
1519,доктор шишонин отзывы врачей,0%,нет,4%,-1,
1520,невролог нижний тагил,100%,нет,73%,1,
1521,доверие новоселов рязань,90%,нет,63%,0,
1522,саранск детская стоматология,80%,нет,58%,0,
1523,яворский андрей викторович,0%,нет,9%,-1,
1524,тверь психотерапевт,100%,нет,73%,1,
1525,здоровье волжский,80%,нет,49%,0,
1526,клиника эксперт воронеж пушкинская,80%,нет,55%,0,
1527,мануальный терапевт казань,100%,нет,57%,0,
1528,эндокринолог кемерово,100%,нет,66%,1,
1529,невролог кострома,100%,нет,58%,0,
1530,краснодар детский психолог,90%,нет,57%,0,
1531,курск эндокринолог,100%,нет,77%,1,
1532,6 поликлиника набережные челны детская,0%,нет,8%,-1,
1533,гастроэнтеролог томск,100%,нет,73%,1,
1534,гастроэнтеролог ульяновск,100%,нет,65%,0,
1535,больница ржд батайск,80%,нет,49%,0,
1536,череповец феникс,80%,нет,60%,0,
1537,европейский стоматологический центр екатеринбург отзывы,70%,нет,29%,-1,
1538,про докторов официальный сайт красноярск,70%,нет,42%,0,
1539,курск поликлиника 8,70%,нет,50%,0,
1540,онкологический центр на каширке,40%,да,27%,-1,
1541,набережные челны дерматолог,0%,нет,39%,0,
1542,пенза психотерапевт,100%,нет,73%,1,
1543,психотерапевт барнаул,100%,нет,73%,1,
1544,энгельс женская консультация на волоха,80%,нет,0%,-1,
1545,женская консультация краснодар 4,90%,нет,42%,0,
1546,мрт люберцы,90%,нет,99%,1,
1547,рязань лор,100%,нет,65%,0,
1548,рязань проктолог,80%,нет,77%,1,
1549,рязань психотерапевт,100%,нет,89%,1,
1550,уролог саратов,100%,нет,63%,0,
1551,гастроэнтеролог санкт петербург,70%,нет,58%,0,
1552,туймазы стоматология,100%,нет,68%,1,
1553,бсмп ангарск,80%,нет,47%,0,
1554,медицинский центр гларус мурманск,70%,нет,49%,0,
1555,новосибирск стоматолог,100%,нет,57%,0,
1556,орел кожвендиспансер,0%,нет,19%,-1,
1557,мрт в пензе адреса и цены,100%,нет,90%,1,
1558,дубрава медцентр старый оскол,70%,нет,47%,0,
1559,корона торжок,50%,нет,37%,0,
1560,доктор лор воронеж,60%,нет,36%,0,
1561,иваново госпиталь,60%,нет,35%,0,
1562,женская консультация красноярск,100%,нет,72%,1,
1563,отзывы гастроэнтеролог,70%,да,59%,0,
1564,набережные челны пнд,0%,нет,11%,-1,
1565,пенза проктолог,100%,нет,77%,1,
1566,2 поликлиника ярославль,80%,нет,79%,1,
1567,чебоксары женская консультация,100%,нет,72%,1,
1568,кострома гинеколог,100%,нет,73%,1,
1569,2 женская консультация рязань,75%,нет,0%,-1,
1570,аллерголог спб,100%,нет,58%,0,
1571,лазурь стоматология волгоград,70%,нет,40%,0,
1572,астрахань гинеколог,100%,нет,81%,1,
1573,терапевт казань,100%,нет,70%,1,
1574,будь здоров клиника отзывы,40%,да,0%,-1,
1575,невролог отзывы,100%,да,56%,0,
1576,репродуктолог отзывы,0%,нет,9%,-1,
1577,клиника радужная новороссийск,100%,нет,50%,0,
1578,воронеж дерматолог взрослый,100%,нет,61%,0,
1579,детский офтальмолог воронеж,90%,нет,66%,1,
1580,поликлиника 12 воронеж,100%,нет,0%,-1,
1581,дерматолог ижевск,90%,нет,77%,1,
1582,эндокринолог саратов,100%,нет,73%,1,
1583,квд сергиев посад,60%,нет,42%,0,
1584,лор белгород,100%,нет,78%,1,
1585,эндокринолог иркутск,90%,нет,58%,0,
1586,вторая детская поликлиника,70%,да,0%,-1,
1587,гинеколог онколог,90%,да,65%,0,
1588,отзывы стоматология,60%,да,26%,-1,
1589,военный госпиталь оренбург,90%,нет,0%,-1,
1590,ортодонт ростов на дону,100%,нет,51%,0,
1591,самара детский невролог,100%,нет,74%,1,
1592,наркологический диспансер калининского района,0%,нет,36%,0,
1593,стоматолог казань,100%,нет,57%,0,
1594,киров дерматолог,100%,нет,73%,1,
1595,мрт в краснодаре цены и адреса,100%,нет,67%,1,
1596,пульс славянск на кубани,0%,нет,0%,-1,
1597,ангарск 28 медсанчасть,100%,нет,33%,-1,
1598,тонус кроха арзамас,80%,нет,0%,-1,
1599,филигрань иркутск стоматология,80%,нет,40%,0,
1600,дерматолог казань детский,100%,нет,64%,0,
1601,стоматология оренбург детская,90%,нет,81%,1,
1602,лор пермь,100%,нет,57%,0,
1603,самара стоматолог,100%,нет,58%,0,
1604,ставрополь гастроэнтеролог,90%,нет,66%,1,
1605,созвездие красоты и здоровья тула,90%,нет,49%,0,
1606,гастроэнтеролог чебоксары,90%,нет,59%,0,
1607,женская консультация на папина липецк,80%,нет,42%,0,
1608,сомнолог в москве,50%,нет,62%,0,
1609,поликлиника хорошая,80%,да,35%,0,
1610,детский офтальмолог спб,90%,нет,72%,1,
1611,вера тверь медицинский центр,80%,нет,63%,0,
1612,ярославль медсправка,90%,нет,78%,1,
1613,роддом 40 екатеринбург,70%,нет,40%,0,
1614,елец 2 поликлиника,40%,нет,0%,-1,
1615,иркутск клиника линия жизни,90%,нет,74%,1,
1616,краснодар лор центр на захарова,70%,нет,65%,0,
1617,новороссийск гинеколог,100%,нет,73%,1,
1618,омск стоматология на волочаевской,80%,нет,53%,0,
1619,севастополь гинеколог,0%,нет,41%,0,
1620,владимир гинеколог,100%,нет,93%,1,
1621,череповец психоневрологический диспансер,90%,нет,63%,0,
1622,коломна новодент,90%,нет,83%,1,
1623,медик сити на савеловской,80%,да,51%,0,
1624,ортоспайн,50%,да,43%,0,
1625,мокрушина ольга геннадьевна,0%,нет,0%,-1,
1626,нефтекамск узи,90%,нет,72%,1,
1627,новокузнецк детский невролог,100%,нет,73%,1,
1628,психиатр ростов на дону,100%,нет,92%,1,
1629,мрт в воронеже адреса и цены,100%,нет,90%,1,
1630,новороссийск женская консультация,90%,нет,56%,0,
1631,эксперт тверь октябрьский,100%,нет,57%,0,
1632,лор ульяновск,90%,нет,57%,0,
1633,мануальный терапевт екатеринбург,100%,нет,57%,0,
1634,калининград невролог,90%,нет,51%,0,
1635,6 поликлиника тамбов,100%,нет,63%,0,
1636,уролог тюмень,100%,нет,78%,1,
1637,афло центр глазов,90%,нет,57%,0,
1638,краснодар остеопат,90%,нет,50%,0,
1639,детская поликлиника 3 регистратура телефон,70%,да,45%,0,
1640,старый оскол инвитро олимпийский,90%,нет,68%,1,
1641,воронеж мрт цены,100%,нет,99%,1,
1642,воскресенск мрт,100%,нет,90%,1,
1643,казань фгдс,100%,нет,99%,1,
1644,эндокринолог липецк,100%,нет,73%,1,
1645,к какому гинекологу лучше пойти,80%,да,46%,0,
1646,центр гематологии в москве,30%,нет,14%,-1,
1647,5 пнд,80%,да,0%,-1,
1648,психотерапевт отзывы,80%,да,58%,0,
1649,проктолог в новосибирске,50%,нет,68%,1,
1650,больница бурденко пенза,50%,нет,28%,-1,
1651,взрослый невролог воронеж,100%,нет,64%,0,
1652,личный кабинет продокторов,0%,нет,0%,-1,
1653,череповец гинеколог,100%,нет,80%,1,
1654,поликлиника 5 иваново,90%,нет,57%,0,
1655,лор красноярск,100%,нет,64%,0,
1656,садко бекетова нижний новгород,90%,нет,57%,0,
1657,новокузнецк стоматология кирова 91,90%,нет,56%,0,
1658,узи сердца в новосибирске цены,30%,нет,91%,1,
1659,ортопед самара,100%,нет,66%,1,
1660,про докторов тольятти,100%,нет,56%,0,
1661,эксперт мрт челябинск,80%,нет,46%,0,
1662,невролог хабаровск,100%,нет,70%,1,
1663,стоматология областная кемерово,80%,нет,72%,1,
1664,мрт магнитогорск,100%,нет,61%,0,
1665,9 стоматология,38%,да,36%,0,
1666,психиатр пермь,90%,нет,66%,1,
1667,диспансер офтальмологический тюмень,80%,нет,49%,0,
1668,областная офтальмологическая больница,30%,да,26%,-1,
1669,ситимед йошкар ола петрова,100%,нет,57%,0,
1670,госпиталь в екатеринбурге военный,90%,нет,64%,0,
1671,гастроэнтеролог иваново,100%,нет,90%,1,
1672,калуга гастроэнтеролог,90%,нет,93%,1,
1673,андреевские больницы красногорск,70%,нет,61%,0,
1674,детская поликлиника номер 3,60%,да,0%,-1,
1675,пенза детский гастроэнтеролог,100%,нет,65%,0,
1676,тюмень трихолог,90%,нет,80%,1,
1677,волгоград клиника олимп,70%,нет,42%,0,
1678,чебоксары диагностический центр,80%,нет,78%,1,
1679,осыпная кострома стоматология,70%,нет,42%,0,
1680,доктор евдокименко отзывы,0%,нет,0%,-1,
1681,про докторов пермь официальный сайт,60%,нет,35%,0,
1682,роддом 21 пермь,80%,нет,28%,-1,
1683,тюмень остеопат,80%,нет,51%,0,
1684,невролог взрослый екатеринбург,100%,нет,53%,0,
1685,ижевск невролог,100%,нет,77%,1,
1686,анисия октябрьский,80%,нет,58%,0,
1687,детская поликлиника 7 барнаул,90%,нет,0%,-1,
1688,про докторов киров,90%,нет,57%,0,
1689,курск невролог детский,100%,нет,64%,0,
1690,елисей осин,0%,нет,0%,-1,
1691,косметолог новосибирск,100%,нет,75%,1,
1692,первый областной медицинский центр орел,0%,нет,17%,-1,
1693,медлайф пермь,90%,нет,46%,0,
1694,продокторов воронеж официальный сайт,50%,нет,28%,-1,
1695,эндокринолог гинеколог екатеринбург,100%,нет,92%,1,
1696,поликлиника салават детская,90%,нет,56%,0,
1697,алейск сибирское здоровье,90%,нет,65%,0,
1698,кабинет здоровья димитровград,90%,нет,43%,0,
1699,детская поликлиника 3 иваново,60%,нет,0%,-1,
1700,5 роддом кемерово,100%,нет,0%,-1,
1701,лор хирург,60%,да,71%,1,
1702,невролог оренбург,100%,нет,63%,0,
1703,женская консультация 1 саранск,100%,нет,63%,0,
1704,клиник парк смоленск услуги и цены врачи,50%,нет,75%,1,
1705,3 поликлиника тамбов регистратура,90%,нет,0%,-1,
1706,тверь витамин,100%,нет,56%,0,
1707,гастроэнтеролог тюмень детский,100%,нет,73%,1,
1708,гинеколог чита,100%,нет,64%,0,
1709,поликлиника 7 хабаровск,80%,нет,50%,0,
1710,курск уролог,90%,нет,71%,1,
1711,стоматология в туле на смидович,80%,нет,78%,1,
1712,уролог во владимире,100%,нет,57%,0,
1713,медлайн волгодонск,90%,нет,57%,0,
1714,медицинский центр обновление ярославль,80%,нет,49%,0,
1715,карла маркса детская поликлиника,100%,нет,0%,-1,
1716,гатчина здоровье медицинский центр,80%,нет,59%,0,
1717,мрт в казани,100%,нет,80%,1,
1718,краснодар психдиспансер,60%,нет,0%,-1,
1719,детская поликлиника 29,90%,да,56%,0,
1720,59 детская поликлиника,50%,да,0%,-1,
1721,нальчик доктор смит,70%,нет,50%,0,
1722,нижний новгород стоматолог,100%,нет,66%,1,
1723,невролог во владимире,100%,нет,66%,1,
1724,цсп воронеж московский,90%,нет,49%,0,
1725,белгород стоматолог,100%,нет,67%,1,
1726,диагностический центр иркутск на байкальской,90%,нет,59%,0,
1727,7 поликлиника курск заводская,80%,нет,42%,0,
1728,нижний новгород больница 38,80%,нет,49%,0,
1729,детская поликлиника ейск 1,90%,нет,0%,-1,
1730,детский аллерголог иммунолог в москве,80%,нет,69%,1,
1731,поликлиника детская на профсоюзной,80%,да,56%,0,
1732,хирург вдовин,40%,да,0%,-1,
1733,новокузнецк дерматолог,100%,нет,63%,0,
1734,мрт новокузнецк,100%,нет,59%,0,
1735,новоуральск стоматология,90%,нет,74%,1,
1736,надежда ростов на дону санаторий,100%,нет,73%,1,
1737,про докторов ру официальный сайт,0%,нет,0%,-1,
1738,здравствуй балаково,80%,нет,42%,0,
1739,остеопат екатеринбург,90%,нет,50%,0,
1740,феникс пушкино медцентр,100%,нет,79%,1,
1741,рославль андромед,80%,нет,58%,0,
1742,про докторов ростов,10%,нет,11%,-1,
1743,стоматология тюмень эстетик,90%,нет,35%,0,
1744,стоматология волоколамск,100%,нет,72%,1,
1745,ефремов эскулап,80%,нет,81%,1,
1746,отзывы пластический хирург,90%,да,29%,-1,
1747,офтальмолог новосибирск,100%,нет,50%,0,
1748,эндокринолог омск,100%,нет,73%,1,
1749,пенза детский лор,100%,нет,69%,1,
1750,взрослый невролог пенза,90%,нет,59%,0,
1751,ревиталь ростов на дону,70%,нет,59%,0,
1752,рязань 8 больница,67%,нет,33%,-1,
1753,больница луговская симферополь,0%,нет,11%,-1,
1754,мануальный терапевт воронеж,100%,нет,63%,0,
1755,альбатрос железнодорожный,80%,нет,66%,1,
1756,клиника даниэль адлер,0%,нет,18%,-1,
1757,балашиха 4 поликлиника,80%,нет,0%,-1,
1758,хабаровск гастроэнтеролог,100%,нет,63%,0,
1759,семья клиника калуга театральная,70%,нет,35%,0,
1760,красноярск мануальный терапевт,100%,нет,58%,0,
1761,курск дерматолог,100%,нет,73%,1,
1762,стоматология на пролетарской,80%,да,66%,1,
1763,стоматологическая 9 поликлиника,50%,да,0%,-1,
1764,эндокринолог ставрополь,100%,нет,57%,0,
1765,уролог ставрополь,90%,нет,73%,1,
1766,детский психолог воронеж,80%,нет,50%,0,
1767,гематолог воронеж,90%,нет,70%,1,
1768,аксон балаково официальный сайт цены специалисты,90%,нет,43%,0,
1769,краснодар клиника глазная,100%,нет,56%,0,
1770,днк курган телефон,40%,нет,28%,-1,
1771,детская 27 поликлиника,75%,да,43%,0,
1772,стоматология новокосино,0%,нет,33%,-1,
1773,семашко серпухов,70%,нет,42%,0,
1774,ревматолог спб,90%,нет,84%,1,
1775,продокторов тольятти,80%,нет,42%,0,
1776,невролог томск,80%,нет,66%,1,
1777,великий новгород женская консультация 1,90%,нет,0%,-1,
1778,волгоград мой врач,90%,нет,0%,-1,
1779,флюорография ярославль,90%,нет,67%,1,
1780,чебоксары лор,100%,нет,74%,1,
1781,психотерапевт омск,100%,нет,69%,1,
1782,наш доктор самара управленческий,80%,нет,59%,0,
1783,поликлиника детская на лисина,0%,нет,0%,-1,
1784,уролог тольятти,100%,нет,63%,0,
1785,про докторов белгород официальный сайт,60%,нет,29%,-1,
1786,нурмед казань,70%,нет,42%,0,
1787,вита кулебаки,80%,нет,43%,0,
1788,новосибирск клиника я здоров,50%,нет,47%,0,
1789,клиника сити пенза тамбовская,90%,нет,49%,0,
1790,мобильная медицина ростов,20%,нет,19%,-1,
1791,маммолог тверь,100%,нет,73%,1,
1792,благовещенская вологда детская поликлиника,70%,нет,61%,0,
1793,подолог ярославль,90%,нет,58%,0,
1794,зеленоград 1506 медцентр,0%,нет,18%,-1,
1795,иваново формула улыбки,80%,нет,64%,0,
1796,123 медсанчасть,100%,да,16%,-1,
1797,мрт старый оскол,90%,нет,73%,1,
1798,поликлиника 2 тамбов,60%,нет,35%,0,
1799,поликлиника 5 иркутск,67%,нет,0%,-1,
1800,стоматология канаш,70%,нет,56%,0,
1801,эндокринолог новокузнецк,90%,нет,73%,1,
1802,женская консультация на пушкина пенза,60%,нет,56%,0,
1803,офтальмолог волгоград,80%,нет,59%,0,
1804,кизляр авиценна,80%,нет,0%,-1,
1805,психиатр санкт петербург,90%,нет,68%,1,
1806,волгоград про докторов официальный сайт,70%,нет,50%,0,
1807,белгород европейская клиника,80%,нет,30%,-1,
1808,детская 5 поликлиника чита,80%,нет,73%,1,
1809,ава казань скандинавия,60%,нет,0%,-1,
1810,краснодар детский гастроэнтеролог,100%,нет,63%,0,
1811,ддц краснодар постовая,80%,нет,49%,0,
1812,пнд 4,50%,да,41%,0,
1813,нейрохирург нижний новгород,90%,нет,83%,1,
1814,глазная клиника вольская 12 саратов,80%,нет,43%,0,
1815,детская стоматология ульяновск,100%,нет,81%,1,
1816,волгоград деметра,80%,нет,62%,0,
1817,здоровье заречный пензенская,90%,нет,63%,0,
1818,кострома медэкспресс,90%,нет,79%,1,
1819,стоматология мытищи детская,100%,нет,71%,1,
1820,омск уролог,90%,нет,58%,0,
1821,кардиолог пенза,100%,нет,73%,1,
1822,4 городская больница сочи,75%,нет,28%,-1,
1823,маммолог тюмень,100%,нет,80%,1,
1824,уфа психиатр,100%,нет,77%,1,
1825,5 поликлиника воронеж,86%,нет,0%,-1,
1826,ярославль трихолог,90%,нет,71%,1,
1827,диагностический центр в брянске на кургане цены на услуги,90%,нет,99%,1,
1828,коломна зубр стоматология,90%,нет,68%,1,
1829,смоленск кардиовита,70%,нет,66%,1,
1830,консилиум ульяновск медицинский центр,70%,нет,37%,0,
1831,эндокринолог вологда,90%,нет,75%,1,
1832,воронеж дерматолог детский,100%,нет,77%,1,
1833,хирург казань,100%,нет,65%,0,
1834,хороший косметолог,100%,да,61%,0,
1835,железнодорожная поликлиника платные услуги,70%,нет,99%,1,
1836,медси станционная мытищи,80%,нет,47%,0,
1837,про докторов нижний новгород официальный сайт,60%,нет,28%,-1,
1838,одинцово женская консультация,80%,нет,70%,1,
1839,кудрово м клиник,0%,нет,3%,-1,
1840,гинеколог владивосток,100%,нет,73%,1,
1841,краснознаменск поликлиника,70%,нет,0%,-1,
1842,столица клиника бабушкинская,40%,да,48%,0,
1843,оренбург перинатальный центр на невельской,70%,нет,0%,-1,
1844,психиатр самара,100%,нет,77%,1,
1845,10 детская поликлиника калининского района,0%,нет,0%,-1,
1846,1 поликлиника тверь,57%,нет,50%,0,
1847,норма медицинский центр александров,80%,нет,0%,-1,
1848,колоноскопия в новосибирске под наркозом цены,20%,нет,99%,1,
1849,мрт в омске адреса и цены,100%,нет,70%,1,
1850,детская стоматология пермь,100%,нет,75%,1,
1851,рязань семейная клиника телефон,80%,нет,42%,0,
1852,свободный клиника мари,0%,нет,4%,-1,
1853,дерматолог тула,100%,нет,66%,1,
1854,про докторов ижевск,90%,нет,56%,0,
1855,консультация женская 2 нижний новгород,90%,нет,56%,0,
1856,ревматолог в нижнем новгороде,90%,нет,71%,1,
1857,психотерапевт ставрополь,100%,нет,72%,1,
1858,диалайн волгоград красноармейский район,80%,нет,0%,-1,
1859,пульмонолог детский воронеж,90%,нет,80%,1,
1860,мрт в белгороде адреса и цены,90%,нет,91%,1,
1861,ессентуки женская консультация,80%,нет,42%,0,
1862,1 стоматология иваново,80%,нет,49%,0,
1863,калининград психолог,100%,нет,77%,1,
1864,детский ортопед казань,90%,нет,58%,0,
1865,детская поликлиника 9 краснодар,50%,нет,28%,-1,
1866,уролог липецк,100%,нет,77%,1,
1867,фрунзенская поликлиника ру,0%,нет,13%,-1,
1868,хороший уролог,100%,да,68%,1,
1869,стоматология сургут детская,80%,нет,50%,0,
1870,вся медицина каслинская челябинск,90%,нет,62%,0,
1871,стоматология крымск,80%,нет,59%,0,
1872,медина плюс новосибирск на петухова,100%,нет,67%,1,
1873,рязань больница 10,88%,нет,43%,0,
1874,проктолог самара,90%,нет,59%,0,
1875,невролог севастополь,0%,нет,18%,-1,
1876,первая семейная клиника на белы куна,0%,нет,23%,-1,
1877,томск гинеколог,100%,нет,74%,1,
1878,тверь уролог,100%,нет,80%,1,
1879,мрт арзамас,90%,нет,55%,0,
1880,про докторов челябинск официальный сайт,60%,нет,42%,0,
1881,энгельс женская консультация,70%,нет,49%,0,
1882,про докторов иркутск официальный сайт,70%,нет,42%,0,
1883,больница 83 москва,80%,нет,42%,0,
1884,константин гецати врач,0%,нет,0%,-1,
1885,нижний новгород поликлиника 2,90%,нет,56%,0,
1886,центр планирования семьи саратов,70%,нет,0%,-1,
1887,симферополь уролог,0%,нет,35%,0,
1888,невролог сочи,100%,нет,74%,1,
1889,гастроэнтеролог детский екатеринбург,80%,нет,73%,1,
1890,чистопольская здоровье семьи,0%,нет,8%,-1,
1891,мануальный терапевт краснодар,100%,нет,57%,0,
1892,цкб гражданской авиации,50%,да,0%,-1,
1893,стоматология невинномысск,100%,нет,78%,1,
1894,хирург нижний новгород,90%,нет,62%,0,
1895,винир стоматология саратов,70%,нет,32%,-1,
1896,19 поликлиника детская саратов,88%,нет,42%,0,
1897,гастроэнтеролог детский спб,90%,нет,66%,1,
1898,академия здоровья зерноград,70%,нет,57%,0,
1899,узи астрахань,90%,нет,64%,0,
1900,ижевск новомед,70%,нет,59%,0,
1901,детская 7 поликлиника казань,70%,нет,35%,0,
1902,про докторов липецк официальный сайт,60%,нет,28%,-1,
1903,роддом 8 москва,100%,нет,0%,-1,
1904,поликлиника 60,100%,да,0%,-1,
1905,фгдс в нижнем новгороде,40%,нет,58%,0,
1906,оренбург альфа дент,80%,нет,51%,0,
