#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
3166,купить джип гранд чероки бу,80%,да,85%,1,
3167,рам 1500,0%,нет,69%,1,
3168,bora vw,30%,да,40%,0,
3169,авто орск ру,100%,нет,99%,1,
3170,электромобиль в беларуси купить,0%,нет,100%,1,
3171,знак дорожный главная дорога,0%,нет,8%,-1,
3172,bmw 3er,30%,да,30%,-1,
3173,м5 f90 бмв,10%,да,50%,0,
3174,camaro chevrolet купить,40%,да,79%,1,
3175,c класс,0%,нет,54%,0,
3176,тлк 200,100%,да,29%,-1,
3177,скутер фото,0%,нет,34%,-1,
3178,поиск авто,50%,да,76%,1,
3179,купить машину б у,90%,да,99%,1,
3180,минск авто,80%,нет,74%,1,
3181,audi allroad a6,20%,да,36%,0,
3182,хендай солярис 2021,40%,да,69%,1,
3183,машина саманд,10%,да,22%,-1,
3184,glc 250 mercedes,30%,да,70%,1,
3185,мерседес с пробегом купить в москве,10%,нет,98%,1,
3186,r34 nissan,10%,да,23%,-1,
3187,hilux toyota купить,90%,да,93%,1,
3188,ларгус белый,60%,да,89%,1,
3189,ауди салон,100%,да,61%,0,
3190,купить газель бу 3302,50%,да,79%,1,
3191,audi s7,30%,да,51%,0,
3192,honda ridgeline,0%,нет,32%,-1,
3193,покупка машины,70%,да,59%,0,
3194,hyundai santa cruz,20%,да,14%,-1,
3195,лексус нх200 цена,80%,да,100%,1,
3196,нива пятидверка,30%,да,42%,0,
3197,kalina nfr,10%,да,22%,-1,
3198,крайслер вояджер купить,60%,да,100%,1,
3199,гибрид автомобиль купить,60%,да,93%,1,
3200,купить бу вольво хс60,80%,да,98%,1,
3201,м 5 ф 90 бмв,0%,нет,70%,1,
3202,гранта на автомате,0%,нет,36%,0,
3203,мотоцикл цена,80%,да,100%,1,
3204,ford mondeo 4,20%,да,23%,-1,
3205,купить митсубиси эклипс,20%,да,70%,1,
3206,850 bmw,10%,да,30%,-1,
3207,мазда демио купить,50%,да,69%,1,
3208,мерседес glb,50%,да,46%,0,
3209,toyota land cruiser 70,20%,да,31%,-1,
3210,бмв м3 цена,20%,да,82%,1,
3211,купли продажи автомобиля 2023,0%,нет,10%,-1,
3212,шины параметры расшифровка,0%,нет,8%,-1,
3213,свет ближний,0%,нет,47%,0,
3214,техническое обслуживание автомобиля,70%,да,83%,1,
3215,опель астра купить бу,60%,да,85%,1,
3216,минивэн митсубиси,20%,да,50%,0,
3217,форестер субару 2008,30%,да,46%,0,
3218,продажа грузовиков,80%,да,100%,1,
3219,олроуд ауди,0%,нет,29%,-1,
3220,бронко форд 2023,10%,да,50%,0,
3221,a90 supra,20%,да,31%,-1,
3222,по четным и нечетным стоянка,0%,нет,0%,-1,
3223,как зарядить аккумулятор автомобиля зарядным устройством,0%,нет,0%,-1,
3224,kaiyi купить,60%,да,99%,1,
3225,киа рио 2013,50%,да,43%,0,
3226,автосалоны нижнего новгорода,90%,нет,59%,0,
3227,ниссан 180sx,10%,да,18%,-1,
3228,проверка аккумулятора мультиметром,0%,нет,0%,-1,
3229,сколько масла заливать в двигатель,0%,нет,1%,-1,
3230,civic honda 2008,30%,да,42%,0,
3231,купить авто в москве новый,20%,нет,99%,1,
3232,ниссан альтима,10%,да,22%,-1,
3233,opel corsa d,30%,да,23%,-1,
3234,suzuki grand vitara 2023,20%,да,31%,-1,
3235,bmw e36 m3,20%,да,22%,-1,
3236,оценка автомобиля для продажи,50%,да,98%,1,
3237,ваз 2106 фото,0%,нет,23%,-1,
3238,акпп это что,0%,нет,0%,-1,
3239,дым белый,0%,нет,1%,-1,
3240,напряжение аккумулятора,0%,нет,1%,-1,
3241,шевроле лачетти купить бу,70%,да,100%,1,
3242,audi b9 a4,20%,да,40%,0,
3243,купить м3 бмв,20%,да,82%,1,
3244,f150,0%,нет,40%,0,
3245,лс 400 лексус,20%,да,26%,-1,
3246,lx570 лексус,60%,да,53%,0,
3247,mercedes benz w123,30%,да,29%,-1,
3248,galant 8,30%,да,29%,-1,
3249,ниссан кашкай 2019,30%,да,48%,0,
3250,авто ру скачать бесплатно,0%,нет,41%,0,
3251,ниссан икстрейл 2023,10%,да,47%,0,
3252,рс7 ауди цена,70%,да,99%,1,
3253,гранд караван додж,20%,да,50%,0,
3254,хонда цивик тайп р,20%,да,23%,-1,
3255,киа оптима 2020,40%,да,63%,0,
3256,транспортер т4,30%,да,32%,-1,
3257,с7 корвет,10%,да,26%,-1,
3258,цивик хонда 8,20%,да,23%,-1,
3259,torneo honda,10%,да,30%,-1,
3260,ауди центр,70%,да,63%,0,
3261,мерседес gl 350,0%,нет,40%,0,
3262,авто ру москва и московская область купить авто с пробегом частные объявления,40%,нет,96%,1,
3263,ф 90 бмв,0%,нет,45%,0,
3264,киа рио 4 поколения,20%,да,40%,0,
3265,камри тойота 2022,50%,да,64%,0,
3266,ярис,30%,да,38%,0,
3267,бора фольксваген купить,70%,нет,89%,1,
3268,geely boyue cool,10%,да,30%,-1,
3269,хендай солярис 2012,44%,да,51%,0,
3270,соната хендай 2005,10%,да,29%,-1,
3271,lx 600,0%,нет,39%,0,
3272,вольво s70,40%,да,38%,0,
3273,автосалоны авто с пробегом в москве с хорошей репутацией,10%,нет,32%,-1,
3274,honda 1300 vtx,10%,да,26%,-1,
3275,отзывы сузуки гранд витара,0%,нет,12%,-1,
3276,buick riviera,10%,да,42%,0,
3277,coolray geely характеристики,0%,нет,58%,0,
3278,купить авто в краснодаре и краснодарском крае с пробегом,60%,нет,99%,1,
3279,джили тугела купить в москве,10%,нет,91%,1,
3280,ct200h lexus,10%,да,23%,-1,
3281,nissan teana j32,20%,да,24%,-1,
3282,купить porsche 911,50%,да,67%,1,
3283,тесла сколько стоит в россии,0%,нет,92%,1,
3284,toyota trueno,10%,да,25%,-1,
3285,класс автомобиля таблица,0%,нет,0%,-1,
3286,шевроле тахо купить бу,80%,да,96%,1,
3287,купить кия карнивал,70%,да,100%,1,
3288,mitsubishi montero sport,40%,да,40%,0,
3289,kadjar renault,10%,да,25%,-1,
3290,camry 2023,30%,да,31%,-1,
3291,30 кузов камри,30%,да,30%,-1,
3292,машина виш,30%,да,38%,0,
3293,лада 111,20%,да,32%,-1,
3294,фольксваген артеон цена,50%,да,71%,1,
3295,bmw g310r,20%,да,37%,0,
3296,автосалон пенза,70%,нет,66%,1,
3297,аурус автомобиль сколько стоит,50%,да,64%,0,
3298,птс автомобиля фото,0%,нет,8%,-1,
3299,мицубиси мини паджеро,20%,да,30%,-1,
3300,sx4 suzuki купить,90%,да,99%,1,
3301,ваз 21014,10%,да,30%,-1,
3302,гольф 1,20%,да,37%,0,
3303,vw id6,0%,нет,29%,-1,
3304,купить шаран,90%,да,100%,1,
3305,ларго ниссан,20%,да,43%,0,
3306,модели фольксваген все,0%,нет,48%,0,
3307,бмв м4 сколько стоит,30%,да,92%,1,
3308,kimo chery,10%,да,19%,-1,
3309,accord honda 2008,40%,да,63%,0,
3310,хендай солярис 2015,40%,да,49%,0,
3311,киа про сид,40%,да,55%,0,
3312,авто мерседес,60%,да,64%,0,
3313,тойота бочка,20%,да,23%,-1,
3314,авео шевроле фото,0%,нет,29%,-1,
3315,mohave 2023,0%,нет,50%,0,
3316,kia ray,10%,да,18%,-1,
3317,тойота королла фото,0%,нет,15%,-1,
3318,рестайлинг что это такое в машине,0%,нет,2%,-1,
3319,где смотреть на шинах год выпуска,0%,нет,4%,-1,
3320,купить бу ваз 2106,50%,да,91%,1,
3321,mazda 3 mps,0%,нет,35%,0,
3322,мерседес м класс,30%,да,31%,-1,
3323,купить порше кайен бу,90%,да,99%,1,
3324,сандеро рено цена,70%,да,100%,1,
3325,тойота хорек,20%,да,40%,0,
3326,transporter,40%,да,43%,0,
3327,шевроле ланос фото,0%,нет,24%,-1,
3328,bmw x3 купить,90%,да,97%,1,
3329,хендай i35,30%,да,31%,-1,
3330,хендай санта фе с пробегом купить,40%,да,100%,1,
3331,lexus is 300,20%,да,33%,-1,
3332,мерседес 63,33%,да,58%,0,
3333,спринтер мерседес классик,50%,да,45%,0,
3334,ауди а8 2023,0%,нет,52%,0,
3335,avenger dodge,10%,да,26%,-1,
3336,новое авто,80%,да,99%,1,
3337,что главнее знак или разметка,0%,нет,0%,-1,
3338,как проверить аккумулятор автомобиля мультиметром,0%,нет,0%,-1,
3339,стартер из чего состоит,0%,нет,7%,-1,
3340,ix 35,40%,да,37%,0,
3341,aurus автомобили цена,30%,да,65%,0,
3342,универсал форд,60%,да,86%,1,
3343,rx 300 лексус,40%,да,46%,0,
3344,мерседес пульман,20%,да,24%,-1,
3345,mitsubishi pajero pinin,10%,да,26%,-1,
3346,samsung renault,20%,да,42%,0,
3347,сузуки кизаши,0%,нет,28%,-1,
3348,машина ларгус фото,0%,нет,27%,-1,
3349,фольксваген тигуан фото,0%,нет,20%,-1,
3350,модели ламборгини,0%,нет,56%,0,
3351,коробка дсг что это,0%,нет,0%,-1,
3352,745 bmw,20%,да,23%,-1,
3353,велостер,0%,нет,39%,0,
3354,тойота хайлендер цена 2023,50%,да,88%,1,
3355,купить toyota probox,30%,да,96%,1,
3356,китайские автомобили электромобили,60%,да,71%,1,
3357,заз купить,40%,да,100%,1,
3358,грузовой мерседес,30%,да,22%,-1,
3359,иномарки машин,60%,да,78%,1,
3360,заполнение дкп онлайн,0%,нет,15%,-1,
3361,калининград авто ру,80%,нет,96%,1,
3362,как ездить на автомате после механики для начинающих,0%,нет,0%,-1,
3363,если забыл права дома что будет,0%,нет,3%,-1,
3364,минивены все,40%,да,58%,0,
3365,х 5 4,0%,нет,44%,0,
3366,купить хендай солярис с пробегом,40%,да,99%,1,
3367,land rover discovery 4,10%,да,31%,-1,
3368,mazda 6 2023,30%,да,56%,0,
3369,мазда cx 4,10%,да,37%,0,
3370,sl мерседес,20%,да,31%,-1,
3371,шкода суперб универсал,60%,да,66%,1,
3372,сузуки джимни цена,70%,да,91%,1,
3373,нива надежда,10%,да,15%,-1,
3374,корандо санг йонг,0%,нет,23%,-1,
3375,договор купля продажа автомобиля,0%,нет,23%,-1,
3376,машина li9,40%,да,72%,1,
3377,мерседес р класс,20%,да,25%,-1,
3378,бентли мульсан,10%,да,27%,-1,
3379,raptor ford f 150,30%,да,53%,0,
3380,королла тойота 2006,20%,да,49%,0,
3381,golf 3,20%,да,22%,-1,
3382,фото бмв м5 ф90,0%,нет,29%,-1,
3383,шипованная резина или липучка что лучше на зиму,0%,нет,0%,-1,
3384,купить мазда сх9,0%,нет,93%,1,
3385,rsq8,0%,нет,30%,-1,
3386,додж джип,30%,да,56%,0,
3387,форд фокус цена,50%,да,100%,1,
3388,кашкай ниссан 2008,40%,да,45%,0,
3389,сколько стоит ниссан скайлайн,0%,нет,78%,1,
3390,сандеро степвей 2,0%,нет,23%,-1,
3391,китайские автомобили в москве,0%,нет,100%,1,
3392,gt 63 amg,0%,нет,29%,-1,
3393,педали на механике расположение,0%,нет,0%,-1,
3394,ниссан скайлайн сколько стоит,0%,нет,66%,1,
3395,купить бу рено каптур,90%,да,99%,1,
3396,цена камри,90%,да,93%,1,
3397,лада 2106,75%,да,33%,-1,
3398,авто ру авто с пробегом тульская область,0%,нет,98%,1,
3399,электромобили в россии цены и где купить,0%,нет,69%,1,
3400,опель минивэн,60%,да,69%,1,
3401,rs 7,40%,да,51%,0,
3402,купить бмв в москве,0%,нет,96%,1,
3403,джип кадиллак,50%,да,69%,1,
3404,купе киа церато,50%,да,51%,0,
3405,touran vw,30%,да,28%,-1,
3406,mercedes amg e63,0%,нет,48%,0,
3407,приоритета знаки дорожного движения картинки с пояснениями,0%,нет,0%,-1,
3408,бентли континенталь цена,0%,нет,76%,1,
3409,3110 волга купить,70%,да,100%,1,
3410,ауди универсал а4,0%,нет,41%,0,
3411,гибрид хонда фит,20%,да,23%,-1,
3412,хендай соната 2019,40%,да,61%,0,
3413,мерседес 250 glc,10%,да,57%,0,
3414,сколько стоит мерседес майбах,10%,да,100%,1,
3415,сколько стоит майбах мерседес,0%,нет,98%,1,
3416,slk,40%,да,35%,0,
3417,купить фольксваген пассат б5,40%,да,72%,1,
3418,тойота краун 2020,0%,нет,40%,0,
3419,106 пежо,20%,да,52%,0,
3420,инфинити q60,50%,да,39%,0,
3421,лексус 570 lx,60%,да,46%,0,
3422,мерседес сечка,70%,да,85%,1,
3423,mercedes clk,30%,да,33%,-1,
3424,mercedes benz e klasse,60%,да,46%,0,
3425,королла кузов 150,30%,да,22%,-1,
3426,vtx honda 1800,10%,да,35%,0,
3427,yamaha fz6,10%,да,36%,0,
3428,мерседес майбах джип,10%,да,74%,1,
3429,договор продажи авто,0%,нет,17%,-1,
3430,как правильно снять аккумулятор с автомобиля,0%,нет,0%,-1,
3431,кия спортейдж 4,10%,да,19%,-1,
3432,ауди а6 с8,0%,нет,29%,-1,
3433,мульсан бентли,10%,да,37%,0,
3434,фф2,20%,да,24%,-1,
3435,хендай крета 2020,50%,да,82%,1,
3436,купить тойота кроун,40%,да,68%,1,
3437,авто в кредит бу,20%,да,73%,1,
3438,что означают значки на приборной панели автомобиля,0%,нет,19%,-1,
3439,haval dargo обзор,0%,нет,1%,-1,
3440,гольф 5 купить,90%,да,99%,1,
3441,купить вольво 850,70%,да,87%,1,
3442,гак 8 китайский автомобиль цена,40%,да,64%,0,
3443,киа сид 2008,30%,да,40%,0,
3444,астра опель седан,40%,да,44%,0,
3445,купить новый китайский пикап,70%,да,91%,1,
3446,passat b4,40%,да,30%,-1,
3447,каптур рено отзывы владельцев,0%,нет,14%,-1,
3448,сатурн авто,30%,да,49%,0,
3449,кинешма автомобиль купить,90%,нет,77%,1,
3450,какой штраф если права забыл дома,0%,нет,3%,-1,
3451,нормальное напряжение аккумулятора автомобиля,0%,нет,0%,-1,
3452,плавают обороты,0%,нет,0%,-1,
3453,srx кадиллак,20%,да,33%,-1,
3454,ауди q8 rs,30%,да,32%,-1,
3455,шевроле нива сколько стоит,100%,да,100%,1,
3456,mercedes w222,30%,да,23%,-1,
3457,mercedes 221,20%,да,22%,-1,
3458,митсубиси лансер 9 купить,50%,да,84%,1,
3459,москвич 403 купить,40%,да,82%,1,
3460,ниссан жук машина,0%,нет,31%,-1,
3461,дэу новус,80%,да,86%,1,
3462,бмв м8 цена 2023,30%,да,99%,1,
3463,все модели ваз,0%,нет,44%,0,
3464,абсорбер что это такое в машине,0%,нет,0%,-1,
3465,знак главная дорога картинка,0%,нет,7%,-1,
3466,audi r8 цена,50%,да,92%,1,
3467,bmw e21,20%,да,23%,-1,
3468,lexus 600,40%,да,41%,0,
3469,beetle vw,10%,да,24%,-1,
3470,купить гольф 7,70%,да,86%,1,
3471,мазерати фото,0%,нет,31%,-1,
3472,changan пикап,40%,да,66%,1,
3473,aventador,0%,нет,31%,-1,
3474,авто ру смоленская область авто с пробегом частные объявления,0%,нет,88%,1,
3475,чепырка машина,10%,да,16%,-1,
3476,где производят аурус,10%,да,14%,-1,
3477,купить мерседес с пробегом с класса,60%,да,99%,1,
3478,форд фокус 2 дорестайлинг,10%,да,17%,-1,
3479,mini cooper s,30%,да,48%,0,
3480,субару импреза 2008,30%,да,41%,0,
3481,toyota carina e,30%,да,34%,-1,
3482,купить тойота прадо 150,40%,да,92%,1,
3483,купить бу фургон,60%,да,100%,1,
3484,приора на автомате,0%,нет,22%,-1,
3485,уровень масла в коробке автомат как проверить,0%,нет,0%,-1,
3486,как выглядит пешеходный переход,0%,нет,0%,-1,
3487,бмв кроссовер,30%,да,66%,1,
3488,цена бмв м8 компетишн,60%,да,100%,1,
3489,renault latitude,10%,да,24%,-1,
3490,supra купить,30%,да,85%,1,
3491,id4 volkswagen цена,70%,да,78%,1,
3492,фольксваген поло 2019,30%,да,46%,0,
3493,фото хонда цивик,0%,нет,15%,-1,
3494,авто ру ульяновск авто с пробегом,30%,нет,97%,1,
3495,рс 4 ауди,0%,нет,45%,0,
3496,формула расхода топлива,0%,нет,4%,-1,
3497,ауди тт кватро,0%,нет,22%,-1,
3498,m5f90,0%,нет,28%,-1,
3499,феррари фф,10%,да,38%,0,
3500,джип хонда,0%,нет,42%,0,
3501,хонда мобилио,10%,да,29%,-1,
3502,киа соренто 2021,20%,да,48%,0,
3503,мазда mx5,0%,нет,20%,-1,
3504,c200 mercedes,40%,да,54%,0,
3505,мерседес 221 s класс,20%,да,30%,-1,
3506,outlander 3,0%,нет,19%,-1,
3507,камри 20,20%,да,37%,0,
3508,исис тойота купить,40%,да,99%,1,
3509,3 дверная нива,50%,да,76%,1,
3510,купить ford transit,50%,да,48%,0,
3511,авто ру авто с,0%,нет,64%,0,
3512,энкор бьюик,20%,да,34%,-1,
3513,газ 69 фото,0%,нет,13%,-1,
3514,акпп это что в машине,0%,нет,0%,-1,
3515,как снять дворники с машины,0%,нет,1%,-1,
3516,почему на ходу глохнет машина,0%,нет,0%,-1,
3517,плавают обороты двигателя на холостом ходу,0%,нет,8%,-1,
3518,купить ауди а4 бу,60%,да,85%,1,
3519,м3 универсал,0%,нет,22%,-1,
3520,хт5 кадиллак,40%,да,47%,0,
3521,купить genesis gv80,67%,да,99%,1,
3522,цлс 63 амг цена,20%,да,62%,0,
3523,octavia a5,20%,да,24%,-1,
3524,тойота королла 2007,40%,да,56%,0,
3525,фольксваген в москве официальный дилер,10%,нет,61%,0,
3526,авто ру оценить авто,0%,нет,41%,0,
3527,тойота фортунер 2023,30%,да,65%,0,
3528,3 лада,20%,да,29%,-1,
3529,ferrari купить,80%,да,93%,1,
3530,хендай ix35 купить,80%,да,100%,1,
3531,четырка сколько стоит,0%,нет,95%,1,
3532,автомобиль ретро,50%,да,38%,0,
3533,bmw i 8,10%,да,20%,-1,
3534,xt6 cadillac,40%,да,35%,0,
3535,форд мондео универсал,50%,да,57%,0,
3536,купить исузу,70%,да,98%,1,
3537,джип вранглер купить бу,80%,да,99%,1,
3538,купить ламборгини хуракан,50%,да,64%,0,
3539,mazda bt 50,10%,да,18%,-1,
3540,тойота камри 2019,50%,да,65%,0,
3541,сиента,0%,нет,27%,-1,
3542,вольво 960,30%,да,33%,-1,
3543,1000rr bmw,0%,нет,45%,0,
3544,honda 600 cbr rr,10%,да,35%,0,
3545,shadow 400 honda,20%,да,46%,0,
3546,e34 бмв,0%,нет,23%,-1,
3547,слр мерседес,10%,да,22%,-1,
3548,21 регион военные номера,0%,нет,0%,-1,
3549,датчик температуры охлаждающей жидкости где находится,0%,нет,11%,-1,
3550,расшифровка вин кода автомобиля,0%,нет,1%,-1,
3551,ауди q8 купить,100%,да,100%,1,
3552,лада 112,30%,да,35%,0,
3553,купить ауди а2,30%,да,80%,1,
3554,додж цена,50%,да,99%,1,
3555,тагаз хёндай акцент,10%,да,15%,-1,
3556,rx 300,0%,нет,46%,0,
3557,smart forfour,0%,нет,26%,-1,
3558,газ 3310 валдай,90%,нет,51%,0,
3559,мерседес с63 амг,30%,да,49%,0,
3560,нива пикап 2329 купить новый,30%,да,84%,1,
3561,нива сколько весит,0%,нет,56%,0,
3562,опель хэтчбек,20%,да,54%,0,
3563,гранд чероки джип 2023,20%,да,43%,0,
3564,милления мазда,20%,да,34%,-1,
3565,майбах мерседес 2022 цена,0%,нет,86%,1,
3566,отзывы фольксваген тигуан,0%,нет,7%,-1,
3567,маз фото,0%,нет,38%,0,
3568,авто ру уфа авто,70%,нет,93%,1,
3569,mercedes w124 coupe,30%,да,37%,0,
3570,тесла цена 2023 в россии в рублях,0%,нет,84%,1,
3571,купить автобус бу,78%,да,81%,1,
3572,купить ауди а6 бу,90%,да,96%,1,
3573,honda civic 4d,0%,нет,30%,-1,
3574,s500 mercedes,20%,да,49%,0,
3575,ниссан примера п12,20%,да,23%,-1,
3576,рено символ,50%,да,43%,0,
3577,тойота камри кузов 70,20%,да,26%,-1,
3578,120 prado,0%,нет,15%,-1,
3579,лада 2105,67%,да,41%,0,
3580,купить бу грузовик,80%,да,100%,1,
3581,волгоград автосалон,100%,нет,75%,1,
3582,цена рендж ровер спорт 2023,0%,нет,72%,1,
3583,клиренс гранта,0%,нет,28%,-1,
3584,дилеры лада в москве,10%,нет,58%,0,
3585,ауди а80,50%,да,41%,0,
3586,бмв e60,30%,да,23%,-1,
3587,соната хендай 2007,40%,да,45%,0,
3588,lexus ls 400,30%,да,26%,-1,
3589,а200 мерседес,40%,да,67%,1,
3590,купить ровер 75,50%,да,82%,1,
3591,приус машина,10%,да,18%,-1,
3592,zekr 001 цена,50%,да,85%,1,
3593,авто ру свердловская область авто,0%,нет,92%,1,
3594,авто ру томск,50%,нет,40%,0,
3595,астрахань авто ру,80%,нет,99%,1,
3596,мустанг машина фото,0%,нет,34%,-1,
3597,toyota curren,0%,нет,37%,0,
3598,форд капри,10%,да,24%,-1,
3599,длина 2114 ваз,0%,нет,46%,0,
3600,хавал купить бу,80%,да,100%,1,
3601,ауди 80 б2,10%,да,22%,-1,
3602,li 8,0%,нет,56%,0,
3603,красный мерседес,50%,да,57%,0,
3604,мерседес е 212,50%,да,43%,0,
3605,32 гтр,0%,нет,22%,-1,
3606,камри стрекоза,10%,да,21%,-1,
3607,купить машину в мелитополе,0%,нет,58%,0,
3608,audi купить,100%,да,98%,1,
3609,х3 бмв цена,90%,да,96%,1,
3610,иран ходро саманд,10%,да,27%,-1,
3611,mercedes w205,20%,да,22%,-1,
3612,цла мерседес,60%,да,54%,0,
3613,пежо 607 купить,70%,да,100%,1,
3614,toyota supra a90,10%,да,36%,0,
3615,авто ока купить,60%,да,87%,1,
3616,лада пикап,20%,да,29%,-1,
3617,калина 2 спорт купить,60%,да,87%,1,
3618,купить ниссан х трейл с пробегом в россии,20%,да,87%,1,
3619,toyota alphard 2023,20%,да,37%,0,
3620,toyota avalon 2023,10%,да,39%,0,
3621,amg 63 мерседес,0%,нет,38%,0,
3622,камри 30 кузов,20%,да,22%,-1,
3623,войя,0%,нет,45%,0,
3624,авто ру нижний новгород авто с пробегом частные объявления,100%,нет,99%,1,
3625,каблук москвич,20%,да,13%,-1,
3626,9 лансер эво,0%,нет,28%,-1,
3627,субару модели,0%,нет,48%,0,
3628,шевроле лачетти хэтчбек 1.6,20%,да,38%,0,
3629,320 мерседес,10%,да,41%,0,
3630,купить бу фольксваген гольф,70%,да,89%,1,
3631,купить газель 3302,50%,да,99%,1,
3632,авто ру сургут,60%,нет,45%,0,
3633,hawtai boliger,0%,нет,41%,0,
3634,toyota platz,30%,да,29%,-1,
3635,bugatti chiron купить,10%,да,57%,0,
3636,фото гранта,0%,нет,32%,-1,
3637,сколько весит шевроле нива,0%,нет,43%,0,
3638,cx 90 mazda,0%,нет,25%,-1,
3639,рено логан размер шин,0%,нет,26%,-1,
3640,картерные газы,0%,нет,0%,-1,
3641,можно ли смешивать антифриз разных цветов,0%,нет,2%,-1,
3642,е90 бмв 3,0%,нет,24%,-1,
3643,мазда cx3,10%,да,18%,-1,
3644,купить mercedes,70%,да,98%,1,
3645,мерседес е211,10%,да,23%,-1,
3646,авто смарт купить,90%,да,88%,1,
3647,сколько стоит автомобиль,70%,да,99%,1,
3648,копейка ваз,20%,да,30%,-1,
3649,фольксваген белый,60%,да,73%,1,
3650,nf touareg,0%,нет,27%,-1,
3651,volkswagen transporter t3,30%,да,29%,-1,
3652,заз 968 автомобиль,20%,да,21%,-1,
3653,заз славута,20%,да,26%,-1,
3654,форд фокус фото,0%,нет,15%,-1,
3655,эволюшн 10,0%,нет,23%,-1,
3656,что показывает спидометр,0%,нет,0%,-1,
3657,jac седан,0%,нет,64%,0,
3658,ауди к5,60%,да,61%,0,
3659,bmw x3 g01,30%,да,33%,-1,
3660,кубик машина,20%,да,29%,-1,
3661,сузуки минивэн,20%,да,37%,0,
3662,toyota alphard купить,70%,да,93%,1,
3663,лачетти шевроле фото,0%,нет,21%,-1,
3664,crossfire chrysler,10%,да,20%,-1,
3665,марк икс тойота,10%,да,18%,-1,
3666,краш тест ваз,0%,нет,1%,-1,
3667,celica toyota купить,50%,да,72%,1,
3668,сайты где можно купить машину,50%,да,65%,0,
3669,bmw i8 купить,60%,да,92%,1,
3670,купить бмв х3 бу,70%,да,97%,1,
3671,раптор форд цена,30%,да,78%,1,
3672,cx30 mazda,30%,да,46%,0,
3673,бу ниссан х трейл,80%,да,99%,1,
3674,рено цены,70%,да,100%,1,
3675,ваз 2114 белая,10%,да,15%,-1,
3676,мультиван,50%,да,68%,1,
3677,купить авто в нижнем новгороде и области с пробегом,20%,нет,98%,1,
3678,mercedes benz cls amg 63,0%,нет,29%,-1,
3679,370z,0%,нет,22%,-1,
3680,c мерседес,50%,да,54%,0,
3681,w213 mercedes,30%,да,29%,-1,
3682,w212 mercedes,30%,да,33%,-1,
3683,ниссан террано 3,20%,да,45%,0,
3684,991 порше,20%,да,22%,-1,
3685,тачки японские,0%,нет,76%,1,
3686,хаммер электрический,10%,да,38%,0,
3687,запорожец фото горбатый,0%,нет,14%,-1,
3688,размер шин рено дастер,0%,нет,37%,0,
3689,спидометр что измеряет,0%,нет,6%,-1,
3690,хендай ай40,40%,да,32%,-1,
3691,цена машины,80%,да,100%,1,
3692,ланос шевроле 2008,20%,да,43%,0,
3693,матиз розовый,10%,да,23%,-1,
3694,crz honda,20%,да,18%,-1,
3695,gla 200 мерседес,40%,да,38%,0,
3696,ланцер мицубиси,10%,да,28%,-1,
3697,роллс ройс 2023,0%,нет,30%,-1,
3698,105 ленд крузер,13%,да,22%,-1,
3699,форд транзит купить с пробегом,38%,да,96%,1,
3700,булевард сузуки,30%,да,45%,0,
3701,фото хендай соната,0%,нет,23%,-1,
3702,фото мазда 3,0%,нет,23%,-1,
3703,фото мерседес 123,0%,нет,25%,-1,
3704,gloria nissan,10%,да,42%,0,
3705,что такое шрус в автомобиле,0%,нет,0%,-1,
3706,что такое et на дисках,0%,нет,1%,-1,
3707,гранд туризмо бмв,20%,да,44%,0,
3708,бмв 5ер,10%,да,60%,0,
3709,cadillac cts 2011,30%,да,48%,0,
3710,грейт вол ховер н5,50%,да,46%,0,
3711,300 мерседес,30%,да,38%,0,
3712,nissan leaf купить,60%,да,80%,1,
3713,110 кузов марк 2,10%,да,29%,-1,
3714,лада восьмерка,10%,да,23%,-1,
3715,golf 5,30%,да,22%,-1,
3716,авто ру вологда,60%,нет,99%,1,
3717,1 фокус,0%,нет,16%,-1,
3718,в дождь потеют стекла в машине что делать,0%,нет,0%,-1,
3719,как правильно хранить колеса на дисках в гараже,10%,да,0%,-1,
3720,кадиллак стс,0%,нет,44%,0,
3721,мазда сх 5 купить с пробегом,10%,да,100%,1,
3722,тойота ленд крузер 150,20%,да,22%,-1,
3723,audi c3 100,10%,да,28%,-1,
3724,e90,0%,нет,22%,-1,
3725,таун кантри крайслер,30%,да,36%,0,
3726,dodge demon srt,0%,нет,33%,-1,
3727,купе инфинити,50%,да,63%,0,
3728,мазда 3 бл,0%,нет,25%,-1,
3729,mazda tribute,0%,нет,22%,-1,
3730,мерседес e класс,0%,нет,53%,0,
3731,mercedes gle coupe,60%,да,57%,0,
3732,универсал опель,60%,да,68%,1,
3733,пикап тойота хайлюкс,30%,да,37%,0,
3734,сколько служит автомобильный аккумулятор,0%,нет,3%,-1,
3735,знаки остановка и стоянка запрещена действие знака,0%,нет,0%,-1,
3736,грейт вол купить,90%,да,100%,1,
3737,fz1 yamaha,10%,да,45%,0,
3738,ис лексус,0%,нет,35%,0,
3739,221 мерседес купить,60%,да,100%,1,
3740,цена ниссан скайлайн,20%,да,56%,0,
3741,land cruiser prado 150,0%,нет,29%,-1,
3742,купить автомобиль б у,100%,да,99%,1,
3743,транспорт грузовой,40%,да,37%,0,
3744,авто ру алтайский край,50%,нет,68%,1,
3745,бентли бентайга 2023 цена,0%,нет,87%,1,
3746,сх50 мазда,10%,да,33%,-1,
