#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
3093,стольгом,0%,нет,0%,-1,
3094,тайланд зимой,10%,да,15%,-1,
3095,татьяна королева,10%,да,0%,-1,
3096,ванд тур туроператор официальный сайт,20%,да,21%,-1,
3097,туры в тунис гранд экспресс,10%,да,41%,0,
3098,турция дальян,0%,нет,0%,-1,
3099,погода в анталье на 10 дней,0%,нет,0%,-1,
3100,турция в августе,40%,да,38%,0,
3101,клуб доступного туризма,0%,нет,0%,-1,
3102,анекс тур вход для агентств,0%,нет,46%,0,
3103,библио глобус туроператор официальный сайт поиск,0%,нет,34%,-1,
3104,коралл туроператор,20%,да,27%,-1,
3105,туры в гоа из москвы 2023,60%,нет,97%,1,
3106,коломенское гостиница,80%,да,43%,0,
3107,отдых в калининграде на море 2023 цены,20%,нет,50%,0,
3108,отдых сочи лазаревское,40%,нет,82%,1,
3109,остров кут,90%,нет,2%,-1,
3110,турция денизли,0%,нет,0%,-1,
3111,турция эдирне,0%,нет,0%,-1,
3112,фокуок,0%,нет,7%,-1,
3113,туры на фукуок,70%,да,66%,1,
3114,море тут официальный сайт,0%,нет,17%,-1,
3115,тур дом,0%,нет,1%,-1,
3116,корал тревел для турагентств,40%,да,33%,-1,
3117,pegas туры,40%,да,44%,0,
3118,фан энд сан официальный сайт,10%,да,36%,0,
3119,какое море в турции в кемере,0%,нет,2%,-1,
3120,билет на мальдивы цена из москвы,100%,нет,96%,1,
3121,ньянма,0%,нет,9%,-1,
3122,платформа 9 3 4 санкт петербург отель,80%,нет,43%,0,
3123,отдых на море лазаревское,0%,нет,50%,0,
3124,doubletree by hilton владикавказ,80%,нет,56%,0,
3125,букинг тайланд,0%,нет,50%,0,
3126,alean ru официальный сайт,0%,нет,7%,-1,
3127,интурист туроператор отзывы,20%,да,1%,-1,
3128,скантур туры,20%,да,15%,-1,
3129,mpl travel,40%,да,15%,-1,
3130,тез тур бай,0%,нет,21%,-1,
3131,купить тур на гоа,90%,да,98%,1,
3132,мармарис какое море омывает,0%,нет,0%,-1,
3133,кения отдых,30%,да,30%,-1,
3134,ayada maldives 5,0%,нет,8%,-1,
3135,тур на мальдивы из москвы 2023 купить с авиаперелетом,80%,нет,99%,1,
3136,цена мальдивы на двоих цена,70%,да,95%,1,
3137,мирис отель санкт петербург,100%,нет,51%,0,
3138,белокуриха отдых цены,100%,нет,95%,1,
3139,в казань на 3 дня туры,100%,нет,100%,1,
3140,туры в таиланд 2023,0%,нет,97%,1,
3141,транстурвояж официальный сайт,10%,да,14%,-1,
3142,тунис туры цены,90%,да,98%,1,
3143,ulusoy kemer holiday,0%,нет,16%,-1,
3144,сколько стоит поездка в турцию,10%,да,100%,1,
3145,sunrise white hills,0%,нет,32%,-1,
3146,групповые туры,50%,да,71%,1,
3147,туроператор санмар поиск тура,20%,да,53%,0,
3148,нарзан вест кисловодск отель,100%,нет,57%,0,
3149,тур в питер на 5 дней с проживанием и экскурсиями,90%,нет,91%,1,
3150,отдых выходного дня,70%,да,63%,0,
3151,сосновка череповец база,100%,нет,43%,0,
3152,тайланд пхукет 2023 туры цены,60%,да,99%,1,
3153,пхукет туры цены,90%,да,99%,1,
3154,тезтур ру,0%,нет,19%,-1,
3155,билеты вьетнам москва,90%,нет,74%,1,
3156,туристический сайт,10%,да,43%,0,
3157,подбор тура в египет,0%,нет,75%,1,
3158,экскурсии в египте из шарм эль шейха,0%,нет,59%,0,
3159,эль гуна хургада,20%,да,26%,-1,
3160,греция остров санторини,100%,нет,0%,-1,
3161,поиск горящих туров,80%,да,66%,1,
3162,куда полететь отдыхать,10%,да,18%,-1,
3163,на кубе море или океан,0%,нет,0%,-1,
3164,туры в дубай из москвы все включено,10%,нет,93%,1,
3165,ренессанс мурманск отель,80%,нет,50%,0,
3166,новогодний тур в сочи,100%,нет,79%,1,
3167,самуй,0%,нет,1%,-1,
3168,горящие туры в тунис,0%,нет,84%,1,
3169,сколько стоит отдых в китае,0%,нет,72%,1,
3170,отдых на кубе 2023 цены с перелетом,50%,да,99%,1,
3171,погода в шарм эль шейхе в октябре,0%,нет,7%,-1,
3172,отдых в египте 2023 все включено,0%,нет,83%,1,
3173,москва ницца,100%,нет,72%,1,
3174,мойхоттур,0%,нет,8%,-1,
3175,бюро горящих туров,40%,да,37%,0,
3176,сколько стоит поездка в японию,0%,нет,25%,-1,
3177,туры из москвы в черногорию,0%,нет,93%,1,
3178,арабские эмираты отдых цены,90%,да,94%,1,
3179,ханума отель,0%,нет,33%,-1,
3180,нижнее ивкино санаторий цены на 2023 год с лечением,0%,нет,81%,1,
3181,розендорф,0%,нет,9%,-1,
3182,горный алтай отдых цены 2023,100%,нет,55%,0,
3183,отдых на байкале цены,20%,да,49%,0,
3184,автобусные туры по россии из москвы,100%,нет,73%,1,
3185,новогодние туры по россии из москвы,70%,нет,91%,1,
3186,ооо библио глобус туроператор,50%,да,36%,0,
3187,paks ru официальный сайт,0%,нет,17%,-1,
3188,летний отдых,20%,да,18%,-1,
3189,купить путевку в турцию из москвы,10%,нет,95%,1,
3190,турция туры мармарис,80%,да,98%,1,
3191,цены в стамбуле 2023,0%,нет,56%,0,
3192,туры на кипр 2023 из москвы,80%,нет,100%,1,
3193,путевки в доминикану,0%,нет,93%,1,
3194,билеты горящие,40%,да,100%,1,
3195,сайт пегас,20%,да,43%,0,
3196,кемер это где,0%,нет,0%,-1,
3197,в израиль,10%,да,22%,-1,
3198,майори,0%,нет,0%,-1,
3199,горящие туры на мальдивы из москвы,70%,нет,91%,1,
3200,москва канкун,100%,нет,62%,0,
3201,кристалл отель красная поляна,0%,нет,32%,-1,
3202,экскурсионные туры в калининград,80%,нет,79%,1,
3203,тур в санкт петербург на 3 дня с проживанием и питанием цена,40%,нет,86%,1,
3204,отдых светлогорск,100%,нет,53%,0,
3205,грин парк интурист ялта,0%,нет,24%,-1,
3206,кемер текирова,0%,нет,29%,-1,
3207,вьетнам в октябре,0%,нет,9%,-1,
3208,туры в пекин из москвы,10%,нет,82%,1,
3209,путевки на кипр,70%,да,100%,1,
3210,бронирование сочи парк отель,100%,нет,99%,1,
3211,east gate hotel балашиха,90%,нет,51%,0,
3212,марва отель,10%,да,29%,-1,
3213,экскурсионные туры в санкт петербург,100%,нет,70%,1,
3214,онлайн экспресс туроператор официальный сайт поиск тура,0%,нет,43%,0,
3215,турция кремлин палас цены 2023,10%,да,37%,0,
3216,купить тур в турцию из москвы все включено,0%,нет,100%,1,
3217,дубай стамбул авиабилеты,0%,нет,87%,1,
3218,туры из москвы в абхазию,10%,нет,80%,1,
3219,туры в абхазию из адлера,0%,нет,79%,1,
3220,отдых на море в октябре,20%,да,10%,-1,
3221,кургада,0%,нет,2%,-1,
3222,батуми отдых,0%,нет,26%,-1,
3223,санрайз тур,30%,да,37%,0,
3224,эмираты пляжный отдых,10%,да,9%,-1,
3225,умм эль кайвайн,0%,нет,13%,-1,
3226,москва филиппины авиабилеты цена,70%,нет,97%,1,
3227,мин воды калуга,90%,нет,68%,1,
3228,астория гостевой дом адлер,0%,нет,38%,0,
3229,грейс круиз сочи,80%,нет,48%,0,
3230,алтайский край отдых цены,50%,нет,60%,0,
3231,путевка в дагестан цена,100%,нет,70%,1,
3232,туры из москвы в санкт петербург,100%,нет,90%,1,
3233,отели в приэльбрусье,0%,нет,77%,1,
3234,москва тайланд авиабилеты цена прямые рейсы,100%,нет,97%,1,
3235,москва занзибар,100%,нет,70%,1,
3236,пактур официальный сайт,0%,нет,7%,-1,
3237,абхазия леселидзе,0%,нет,20%,-1,
3238,брюней,0%,нет,7%,-1,
3239,туры в болгарию,10%,да,59%,0,
3240,гоу чайна туроператор официальный сайт,40%,да,0%,-1,
3241,москва шарм эль шейх билеты,100%,нет,96%,1,
3242,москва германия,80%,нет,61%,0,
3243,купить горящую путевку,90%,да,100%,1,
3244,библио глобус личный кабинет,0%,нет,29%,-1,
3245,куба где находится в какой стране,0%,нет,2%,-1,
3246,турция сиде какое море,0%,нет,9%,-1,
3247,горячинск санаторий цены 2023,0%,нет,96%,1,
3248,подмосковье калининград хостел,100%,нет,58%,0,
3249,хостел подмосковье калининград,100%,нет,58%,0,
3250,отель корабль,0%,нет,16%,-1,
3251,централ сити пятигорск отель,90%,нет,62%,0,
3252,где отдохнуть в россии недорого,0%,нет,39%,0,
3253,районг,10%,да,13%,-1,
3254,санмар агентская страница,0%,нет,15%,-1,
3255,паттайя лайф вконтакте,0%,нет,1%,-1,
3256,байдахе,0%,нет,1%,-1,
3257,остров маргарита венесуэла фото,100%,нет,0%,-1,
3258,туры в грузию горящие,0%,нет,94%,1,
3259,сезон на пхукете по месяцам,0%,нет,7%,-1,
3260,википедия тунис,0%,нет,1%,-1,
3261,вьетнам где,0%,нет,0%,-1,
3262,билеты на самолет на мальдивы,20%,да,67%,1,
3263,туры в оаэ 2023 из москвы,0%,нет,97%,1,
3264,отель уют,100%,да,59%,0,
3265,белокуриха купить путевку в санаторий,100%,нет,90%,1,
3266,цены белокуриха,100%,нет,87%,1,
3267,геленджик все включено с бассейном,100%,нет,70%,1,
3268,в питер,100%,нет,60%,0,
3269,и линь,0%,нет,0%,-1,
3270,реестр турагентств 2023 официальный сайт,0%,нет,15%,-1,
3271,инжекум турция,0%,нет,31%,-1,
3272,отдых на берегу моря 2022,10%,да,20%,-1,
3273,орехово зуево турагентства,100%,да,65%,0,
3274,венесуэла маргарита остров погода,30%,нет,0%,-1,
3275,куба ольгин,20%,да,20%,-1,
3276,куба варадеро туры,80%,да,98%,1,
3277,отдых кипр цены,70%,да,95%,1,
3278,сколько лететь с хабаровска до москвы,90%,нет,39%,0,
3279,травелата поиск тура официальный сайт,30%,да,47%,0,
3280,фото новый афон,0%,нет,0%,-1,
3281,ямайка москва,80%,нет,80%,1,
3282,аэропорт казань отель,80%,нет,68%,1,
3283,тур на 3 дня в калининград из москвы с авиаперелетом,90%,нет,96%,1,
3284,туры в адлер,0%,нет,73%,1,
3285,поле чудес тюмень база отдыха,100%,нет,49%,0,
3286,пхукет путевки,70%,да,99%,1,
3287,турагентство дельфин,30%,да,19%,-1,
3288,альва донна сиде турция цена,0%,нет,22%,-1,
3289,тюрклер,0%,нет,15%,-1,
3290,тур в узбекистан 2023,10%,да,48%,0,
3291,остров маргарита венесуэла туры цены на 2023,90%,нет,98%,1,
3292,туту туры официальный сайт,0%,нет,26%,-1,
3293,агрегаторы туров по всем туроператорам,0%,нет,46%,0,
3294,2345 подбор тура,70%,да,66%,1,
3295,круиз на северный полюс,0%,нет,18%,-1,
3296,ттв туроператор автобусные туры официальный сайт,10%,да,14%,-1,
3297,фан энд сан поиск тура,20%,да,45%,0,
3298,дешевые путевки,70%,да,100%,1,
3299,индивидуальные туры,10%,да,64%,0,
3300,горящие туры на бали,0%,нет,93%,1,
3301,куба какое море или океан,0%,нет,0%,-1,
3302,туры в италию из москвы,0%,нет,40%,0,
3303,новый год в оаэ,0%,нет,34%,-1,
3304,марис отель ессентуки,100%,нет,50%,0,
3305,азимут москва дербеневская,100%,нет,59%,0,
3306,плутус отель сочи,100%,нет,59%,0,
3307,все включено краснодарский край,100%,нет,67%,1,
3308,тур в швейцарию,0%,нет,50%,0,
3309,купить тур в таиланд,0%,нет,88%,1,
3310,курсы туроператоров на сегодня,0%,нет,5%,-1,
3311,библио глобус проверить заявку,0%,нет,21%,-1,
3312,хотелбук,0%,нет,40%,0,
3313,айвалык турция,0%,нет,0%,-1,
3314,самарканд экскурсии,0%,нет,56%,0,
3315,отдых в сухуми,0%,нет,82%,1,
3316,отдых 2022 цены на берегу моря,10%,да,54%,0,
3317,билеты на кубу из москвы прямые рейсы,100%,нет,60%,0,
3318,travelata туры,30%,да,53%,0,
3319,вандеруки,0%,нет,9%,-1,
3320,магазин горящих путевок москва,60%,нет,44%,0,
3321,подбор тура по всем туроператорам беларусь,30%,да,64%,0,
3322,ajman,0%,нет,32%,-1,
3323,путевка в японию,0%,нет,59%,0,
3324,адлеркурорт санаторий коралл,0%,нет,52%,0,
3325,загородный комплекс приокские зори,0%,нет,29%,-1,
3326,красная поляна островок,10%,да,61%,0,
3327,пятигорск отдых 2023 цены,100%,нет,80%,1,
3328,адлер 2023 отдых цены,10%,да,56%,0,
3329,отдых сингапур,40%,да,51%,0,
3330,тринкомали,0%,нет,6%,-1,
3331,сеть алеан отелей официальный сайт,0%,нет,21%,-1,
3332,ics travel group официальный сайт,10%,да,1%,-1,
3333,туры в стамбул экскурсионные из москвы,10%,нет,70%,1,
3334,алания конаклы,30%,нет,18%,-1,
3335,вьетнам в январе,0%,нет,9%,-1,
3336,арзейбаджане,0%,нет,1%,-1,
3337,алтуфьево весна,0%,нет,0%,-1,
3338,анекс тур официальный москва,30%,нет,32%,-1,
3339,grand express туроператор,50%,да,16%,-1,
3340,интурист отель групп,60%,да,30%,-1,
3341,таиланд страна,0%,нет,3%,-1,
3342,тур в италию 2023,0%,нет,48%,0,
3343,санкт петербург отдых,100%,нет,50%,0,
3344,экскурсия на красную поляну,0%,нет,44%,0,
3345,туроператор амиго с официальный сайт,20%,да,21%,-1,
3346,путевки в тунис,0%,нет,81%,1,
3347,отдых в турции сколько стоит,0%,нет,69%,1,
3348,каталог остров чистоты с ценами,90%,нет,68%,1,
3349,хорватия отдых,10%,да,27%,-1,
3350,отдых в египте в декабре,0%,нет,44%,0,
3351,анекс вход для агентств,0%,нет,23%,-1,
3352,анекс тур агентам,30%,да,30%,-1,
3353,город гавана,0%,нет,0%,-1,
3354,город фетхие,0%,нет,9%,-1,
3355,какое море в турции в сиде,0%,нет,0%,-1,
3356,турагентства в орле,0%,нет,19%,-1,
3357,сколько стоит байкал,0%,нет,22%,-1,
3358,горящие туры в сочи из москвы с перелетом,100%,нет,100%,1,
3359,красная поляна туры,60%,да,81%,1,
3360,отели в подмосковье для отдыха с детьми,10%,да,15%,-1,
3361,новый источник вологда санаторий цена путевки на 10 дней,80%,нет,80%,1,
3362,пхукет в октябре,0%,нет,0%,-1,
3363,intourist ru,0%,нет,0%,-1,
3364,туту купить,0%,нет,34%,-1,
3365,онлайн бронирование туров,0%,нет,53%,0,
3366,б2 авторусь,30%,да,47%,0,
3367,москва аргентина,100%,нет,72%,1,
3368,русский экспресс онлайн туроператор официальный сайт,0%,нет,5%,-1,
3369,погода в шарм эль шейхе в феврале,0%,нет,7%,-1,
3370,грузия отдых на море,10%,да,20%,-1,
3371,туры в грецию из москвы,10%,нет,90%,1,
3372,корал тревел туроператор официальный сайт поиск,20%,да,27%,-1,
3373,бархатные сезоны отель спортивный квартал,0%,нет,33%,-1,
3374,отдых озеро байкал цены,0%,нет,32%,-1,
3375,шерегеш цены,0%,нет,74%,1,
3376,путевка выходного дня,80%,да,86%,1,
3377,туры из москвы на выходные,80%,нет,86%,1,
3378,горячие путевки в тайланд,20%,да,100%,1,
3379,гранд туроператор по тунису,60%,да,29%,-1,
3380,тунис остров джерба,80%,нет,39%,0,
3381,турция в июне,20%,да,33%,-1,
3382,улудаг,10%,да,21%,-1,
3383,поисковик туров,20%,да,54%,0,
3384,май тревел бар,20%,да,0%,-1,
3385,абхазия сухуми отдых,0%,нет,49%,0,
3386,куба камагуэй,0%,нет,0%,-1,
3387,отдых в мае в египте,0%,нет,31%,-1,
3388,киргизия отдых цены 2023,20%,да,66%,1,
3389,туры в оаэ в ноябре,0%,нет,90%,1,
3390,лагерь на море,20%,да,64%,0,
3391,тур на филиппины 2023 из москвы цена,80%,нет,92%,1,
3392,санаторий сосновый бор алтайский край цена путевки,100%,нет,97%,1,
3393,регина казань петровский,80%,нет,47%,0,
3394,петровский регина казань,70%,нет,48%,0,
3395,отдых в сочи в декабре,100%,нет,32%,-1,
3396,кабардино балкария отдых на море цены,0%,нет,64%,0,
3397,мальдивиана туроператор официальный,40%,да,23%,-1,
3398,горячие путевки в турцию все включено,10%,да,88%,1,
3399,олюдениз турция купить тур,0%,нет,93%,1,
3400,паландокен,0%,нет,20%,-1,
3401,онлитурс,0%,нет,8%,-1,
3402,туры в минск из москвы,100%,нет,94%,1,
3403,anextour ru,0%,нет,36%,0,
3404,санаторий горки,50%,да,48%,0,
3405,адыгея москва,90%,нет,50%,0,
3406,отдых в апреле в россии,0%,нет,3%,-1,
3407,сертификат на путешествие,20%,да,31%,-1,
3408,стоимость путёвки в тайланд на 10 дней,10%,да,86%,1,
3409,занзибар туры цены,70%,да,99%,1,
3410,www sunmar ru,0%,нет,23%,-1,
3411,ташкент экскурсии,0%,нет,43%,0,
3412,вьетнам отдых 2023,63%,да,39%,0,
3413,меридиан турагентство,30%,да,14%,-1,
3414,сто дорог турагентство,20%,да,32%,-1,
3415,тц заря электрозаводская,40%,да,24%,-1,
3416,отправкин ру горящие туры,40%,да,28%,-1,
3417,библио глобус отели,0%,нет,71%,1,
3418,оператор библио глобус,40%,да,33%,-1,
3419,тэз турс официальный,0%,нет,15%,-1,
3420,иордания турция,0%,нет,21%,-1,
3421,билеты в черногорию из москвы,70%,нет,72%,1,
3422,сочи горнолыжный курорт красная поляна,60%,нет,35%,0,
3423,бухта коприно база отдыха цены 2023,0%,нет,74%,1,
3424,сураттхани,0%,нет,1%,-1,
3425,официальный сайт дельфин,0%,нет,0%,-1,
3426,отдых летом,20%,да,18%,-1,
3427,туры в стамбул из москвы 2023 с авиаперелетом,10%,нет,70%,1,
3428,курсы валют на сегодня туроператоров,0%,нет,8%,-1,
3429,распродажа туров,60%,да,87%,1,
3430,москва египет авиабилеты цена,100%,нет,97%,1,
3431,горящие туры на море,100%,да,100%,1,
3432,турстанок,20%,да,13%,-1,
3433,нтк глобус официальный сайт,20%,да,19%,-1,
3434,турция сезон,0%,нет,1%,-1,
3435,сиде море какое,0%,нет,1%,-1,
3436,какое море в сиде,0%,нет,1%,-1,
3437,руми архангельск,80%,нет,37%,0,
3438,санаторий красная талка геленджик цены на 2023,80%,нет,100%,1,
3439,куда можно съездить на 3 дня отдохнуть,60%,да,33%,-1,
3440,жд туры,80%,да,58%,0,
3441,туры на самуи,0%,нет,84%,1,
3442,амигос тур туроператор официальный сайт,10%,да,33%,-1,
3443,слетать ру турция,0%,нет,37%,0,
3444,туры в ташкент,0%,нет,42%,0,
3445,кейптаун туры,70%,да,81%,1,
3446,все туроператоры на одном сайте поиск,20%,да,39%,0,
3447,кру клаб туроператор официальный сайт,20%,да,25%,-1,
3448,билеты на кипр из москвы,90%,нет,71%,1,
3449,купить путевку в египет все включено,0%,нет,51%,0,
3450,туры в тюмень,100%,нет,91%,1,
3451,путевки в грецию,0%,нет,100%,1,
3452,saletur ru,0%,нет,4%,-1,
3453,coral travel горящие туры,40%,да,60%,0,
3454,fansan,0%,нет,36%,0,
3455,абхазия город сухум,0%,нет,0%,-1,
3456,столица мальдивских островов,70%,нет,0%,-1,
3457,фуджейра молл,0%,нет,0%,-1,
3458,часовой пояс вьетнам,0%,нет,22%,-1,
3459,авиабилеты мальдивы,70%,да,70%,1,
3460,свадьба на мальдивах,50%,да,35%,0,
3461,петровац черногория,0%,нет,8%,-1,
3462,сколько стоит полететь в дубай,0%,нет,55%,0,
3463,биляр инн казань отель,70%,нет,51%,0,
3464,небо отель,0%,нет,25%,-1,
3465,грани санкт петербург отель,100%,нет,59%,0,
3466,сочи яндекс путешествия,80%,нет,36%,0,
3467,туры в приэльбрусье,10%,да,51%,0,
3468,цены тайланд 2023,50%,да,72%,1,
3469,купить тур на пхукет,100%,да,99%,1,
3470,clickvoyage,0%,нет,8%,-1,
3471,курс пегас,30%,да,36%,0,
3472,fun sun турагентство,40%,да,44%,0,
3473,турвизор поиск туров из москвы,20%,нет,31%,-1,
3474,mytour club личный кабинет,0%,нет,0%,-1,
3475,айанапа,0%,нет,5%,-1,
3476,можайка тур горящие туры,40%,да,25%,-1,
3477,coral travel подбор тура,40%,да,44%,0,
3478,все включено туры,80%,да,70%,1,
3479,где находятся мальдивы в какой стране на каком материке,80%,да,30%,-1,
3480,путевки в израиль,0%,нет,86%,1,
3481,курорты малайзии,10%,да,14%,-1,
3482,москва мехико,100%,нет,61%,0,
3483,база отдыха павловский парк,0%,нет,25%,-1,
3484,туры в саудовскую аравию,0%,нет,45%,0,
3485,майорка отдых,20%,да,24%,-1,
3486,билет в тайланд цена,0%,нет,98%,1,
3487,альджазир,0%,нет,11%,-1,
3488,гранд экспресс официальный сайт туроператор,0%,нет,14%,-1,
3489,слетать ру официальный сайт поиск тура из москвы в турцию,20%,нет,50%,0,
3490,измир турция отдых,0%,нет,41%,0,
3491,где отдохнуть в ноябре на море за границей без визы недорого,0%,нет,3%,-1,
3492,1001 тур подбор тура,30%,да,29%,-1,
3493,онлайн тревел,0%,нет,30%,-1,
3494,отели хургады 5 звезды первая линия все включено цены,0%,нет,32%,-1,
3495,шарм шейх,0%,нет,13%,-1,
3496,отдых в грузии 2023,0%,нет,28%,-1,
3497,туризм в италии,0%,нет,1%,-1,
3498,оман москва,90%,нет,64%,0,
3499,турагентства во владимире,90%,нет,59%,0,
3500,турфирма колумбия кострома официальный сайт,80%,нет,21%,-1,
3501,туры озон,0%,нет,26%,-1,
3502,бутик отель ренессанс мурманск,90%,нет,50%,0,
3503,тур в казань на 5 дней с проживанием и питанием,100%,нет,99%,1,
3504,сочи туры цены 2023,100%,нет,100%,1,
3505,туры в великий устюг 2023,100%,нет,68%,1,
3506,туры на сейшелы из москвы 2023,100%,нет,98%,1,
3507,selenium hotel 4,0%,нет,34%,-1,
3508,турция аксарай,0%,нет,9%,-1,
3509,отдых в анталии,0%,нет,59%,0,
3510,с какими странами граничит сербия,0%,нет,0%,-1,
3511,поисковик туров по всем туроператорам онлайн лучший,0%,нет,32%,-1,
3512,релакс тур,30%,да,33%,-1,
3513,библия глобус поиск тура,30%,да,48%,0,
3514,фан и сан туроператор поиск тура,0%,нет,33%,-1,
3515,варадеро погода по месяцам,0%,нет,0%,-1,
3516,остров маврикий отдых,80%,нет,36%,0,
3517,анис апарт отель москва,90%,нет,43%,0,
3518,алтай отдых цены,100%,нет,72%,1,
3519,гостиница аристоль уфа,100%,нет,58%,0,
3520,отдых сейшельские острова,90%,нет,44%,0,
3521,москва самуи,100%,нет,63%,0,
3522,maldives ru,0%,нет,17%,-1,
3523,pac ru туроператор официальный сайт,0%,нет,6%,-1,
3524,москва турция перелет,90%,нет,71%,1,
3525,купить тур в стамбул,10%,да,91%,1,
3526,маршрут поезда симферополь адлер,10%,да,15%,-1,
3527,горящие путевки в египет из москвы,20%,нет,83%,1,
3528,тур в шарм эль шейх из москвы купить,20%,нет,87%,1,
3529,отказные туры,40%,да,42%,0,
3530,ht kz горящие туры,0%,нет,41%,0,
3531,мой горящий тур официальный сайт,20%,да,29%,-1,
3532,корэл тревел,40%,да,36%,0,
3533,поиск пегас,40%,да,51%,0,
3534,пегас туристик чита,80%,нет,0%,-1,
3535,гудаута достопримечательности,0%,нет,1%,-1,
3536,погода в турции по месяцам и температура воды,0%,нет,0%,-1,
3537,исыкуль отдых,0%,нет,44%,0,
3538,путевки в санкт петербург,100%,нет,80%,1,
3539,тайланд в ноябре 2023,20%,да,57%,0,
3540,спейс туроператор,0%,нет,15%,-1,
3541,туроператор тез тур официальный,10%,да,15%,-1,
3542,юнекс официальный сайт,20%,да,34%,-1,
3543,горящие туры в анталию,10%,да,89%,1,
3544,мармарис турция отдых,0%,нет,49%,0,
3545,отдых в одессе для россиян,0%,нет,15%,-1,
3546,туры в южную корею из москвы,0%,нет,67%,1,
3547,все туроператоры на одном сайте поиск тура,30%,да,44%,0,
3548,путевки в китай 2023,0%,нет,93%,1,
3549,китай санья туры,0%,нет,83%,1,
3550,коста рика отдых,30%,да,35%,0,
3551,туры в египет из москвы в шарм эль шейх,10%,нет,93%,1,
3552,библия глобус поиск тура горящие туры,50%,да,51%,0,
3553,туроператор tui официальный сайт поиск тура,10%,да,37%,0,
3554,тур на бали купить,80%,да,98%,1,
3555,гудаута абхазия отдых,0%,нет,42%,0,
3556,фуджейра погода по месяцам,0%,нет,0%,-1,
3557,оаж,0%,нет,15%,-1,
3558,горящие путевки в оаэ,10%,да,100%,1,
3559,туры в перу,0%,нет,56%,0,
3560,берег роз геленджик цены официальный сайт,80%,нет,44%,0,
3561,узкое санаторий москва,80%,нет,38%,0,
3562,сити парк москва гостиница,100%,нет,59%,0,
3563,туры с экскурсиями в санкт петербург,100%,нет,81%,1,
3564,отели все включено в россии,10%,да,44%,0,
3565,петрозаводск сочи,100%,нет,92%,1,
3566,анапа отель 5 звезд все включено,100%,нет,67%,1,
3567,где можно отдохнуть недорого в подмосковье,20%,да,52%,0,
3568,сергиев посад отели с бассейном,70%,нет,67%,1,
3569,рязань все включено,70%,нет,35%,0,
3570,туроператор экспресс тур официальный сайт,10%,да,23%,-1,
3571,туроператор кандагар,30%,да,16%,-1,
3572,атакент турция,0%,нет,8%,-1,
3573,горнолыжный курорт андорра,0%,нет,8%,-1,
3574,бэйдайхэ китай,0%,нет,2%,-1,
3575,травелетта,0%,нет,8%,-1,
3576,травалетта туры из москвы,50%,нет,69%,1,
3577,рик явик,0%,нет,0%,-1,
3578,варадеро достопримечательности,0%,нет,0%,-1,
3579,tunis,0%,нет,9%,-1,
3580,мьянма отдых на море цены 2023,70%,да,61%,0,
3581,экскурсия на домбай,0%,нет,29%,-1,
3582,туры в пятигорск,100%,нет,98%,1,
3583,тур в осетию,30%,да,48%,0,
3584,тенерифе отдых цены с перелетом 2023,70%,да,98%,1,
3585,травелата ру официальный сайт поиск тура,0%,нет,34%,-1,
3586,кругозор туроператор,60%,да,31%,-1,
3587,пак ру,0%,нет,1%,-1,
3588,www tez tour com,0%,нет,14%,-1,
3589,вест тревел санкт петербург,70%,нет,21%,-1,
3590,экскурсионные туры в турцию,10%,да,45%,0,
3591,тревал тур официальный сайт,10%,да,58%,0,
3592,путевки в белоруссию,0%,нет,78%,1,
3593,отдых в белоруссии 2023 цены,0%,нет,96%,1,
3594,болгария отдых на море цены 2023,50%,да,77%,1,
3595,египет тез тур,70%,да,97%,1,
3596,анекспро,0%,нет,7%,-1,
3597,абхазия климат,0%,нет,0%,-1,
3598,шарджа фото,0%,нет,2%,-1,
3599,население паттайя,0%,нет,0%,-1,
3600,город мармарис,0%,нет,0%,-1,
3601,москва мадагаскар,80%,нет,96%,1,
3602,горящие путевки на мальдивы,80%,да,82%,1,
3603,путевки в дубай все включено,10%,да,79%,1,
3604,сколько стоит слетать в дубай,0%,нет,73%,1,
3605,отдых в оаэ в октябре,0%,нет,38%,0,
3606,краснодар гостиница рядом с парком галицкого,60%,нет,49%,0,
3607,баунти отель,80%,да,54%,0,
3608,владимир честер отель,90%,нет,51%,0,
3609,пак туроператор официальный сайт,20%,да,15%,-1,
3610,топхотелс официальный сайт турция,0%,нет,25%,-1,
3611,турция инжекум алания,10%,нет,25%,-1,
3612,туры в каппадокию из москвы,0%,нет,54%,0,
3613,отдых северный кипр,0%,нет,25%,-1,
3614,бразилия флорианополис,0%,нет,0%,-1,
3615,туры в колумбию,10%,да,81%,1,
3616,куба в апреле,10%,да,21%,-1,
3617,египет травелата,0%,нет,51%,0,
3618,в париж,0%,нет,36%,0,
3619,горящие туры турагентство,80%,да,65%,0,
3620,индия курорты,0%,нет,6%,-1,
3621,абхазия новый афон что посмотреть,0%,нет,0%,-1,
3622,larnaca,0%,нет,0%,-1,
3623,вакансии турагент,70%,да,30%,-1,
3624,summer island maldives 4,0%,нет,21%,-1,
3625,филиппины туры цены,0%,нет,68%,1,
3626,вита бугульма санаторий,80%,нет,43%,0,
3627,библиоглобус тур сочи,100%,нет,99%,1,
3628,туры в таджикистан,10%,да,54%,0,
3629,турагентства в москве список лучших,20%,нет,10%,-1,
3630,fethiye турция,0%,нет,30%,-1,
