#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
1348,мидии купить,60%,да,99%,1,
1349,kook,0%,нет,19%,-1,
1350,омск кфс меню,80%,нет,99%,1,
1351,клево,0%,нет,16%,-1,
1352,набережные челны доставка еды,0%,нет,77%,1,
1353,квикфуд,0%,нет,48%,0,
1354,автосуши воронеж,100%,нет,31%,-1,
1355,роллы ярославль,90%,нет,78%,1,
1356,майбокс брянск,40%,нет,37%,0,
1357,заказать осетинские пироги с доставкой москва,70%,нет,98%,1,
1358,ресторан союз нижний новгород,90%,нет,49%,0,
1359,по чесноку ресторан спб,80%,нет,37%,0,
1360,марани,50%,да,46%,0,
1361,ростов на дону казачий курень,60%,нет,25%,-1,
1362,ташир пицца ростов на дону заказать пиццу,100%,нет,54%,0,
1363,пицца ниндзя киров,80%,нет,46%,0,
1364,роллы москва доставка,100%,нет,100%,1,
1365,кфс челябинск,80%,нет,54%,0,
1366,челябинск хачапури тетушки марико,60%,нет,22%,-1,
1367,краснодар хмельной повар,60%,нет,36%,0,
1368,суши мастер нижний новгород,90%,нет,39%,0,
1369,челябинск вкусвилл,90%,нет,30%,-1,
1370,море рыбы,0%,нет,41%,0,
1371,сицилия пицца,0%,нет,26%,-1,
1372,тюмень пицца,100%,нет,69%,1,
1373,реберная 1,0%,нет,20%,-1,
1374,бона капона санкт петербург,70%,нет,36%,0,
1375,журавлина челябинск,90%,нет,29%,-1,
1376,белочка ресторан челябинск,70%,нет,30%,-1,
1377,римини саратов пицца,90%,нет,63%,0,
1378,азбука вкуса торты купить,60%,да,100%,1,
1379,сказка кафе,50%,да,44%,0,
1380,вкусно и точка челябинск,20%,нет,35%,0,
1381,мушу,0%,нет,20%,-1,
1382,сливки кокосовые,0%,нет,70%,1,
1383,сливки взбитые купить,20%,да,89%,1,
1384,казань бруклин пицца,80%,нет,29%,-1,
1385,на углях,70%,да,56%,0,
1386,вкусно и точка сочи,10%,нет,25%,-1,
1387,подкрепицца уссурийск,70%,нет,38%,0,
1388,красную икру купить в москве,40%,нет,93%,1,
1389,две печи тула,100%,нет,61%,0,
1390,чехов оранжерея,100%,нет,29%,-1,
1391,солнечный день доставка новосибирск,90%,нет,54%,0,
1392,сололаки владимир,90%,нет,36%,0,
1393,доставка вилка бар чебоксары,80%,нет,49%,0,
1394,москва корчма тарас бульба,80%,нет,29%,-1,
1395,доски омск,100%,нет,45%,0,
1396,доставка калининград еды,90%,нет,82%,1,
1397,обеды,50%,да,40%,0,
1398,ocean basket,0%,нет,9%,-1,
1399,пироги на заказ штолле с доставкой,70%,да,52%,0,
1400,хинкали хаус ярославль,60%,нет,29%,-1,
1401,ростикс ижевск,90%,нет,72%,1,
1402,ресторан mushrooms,60%,да,29%,-1,
1403,зеленый горошек,0%,нет,56%,0,
1404,одесса мама ресторан в москве,30%,нет,41%,0,
1405,новосибирск роллы,90%,нет,86%,1,
1406,квартира 44,50%,да,16%,-1,
1407,яндекс доставка екатеринбург,70%,нет,63%,0,
1408,шаурма клаб,50%,да,30%,-1,
1409,ярославль доставка еды,90%,нет,68%,1,
1410,tlf,10%,да,8%,-1,
1411,kfc меню и цены в москве,20%,нет,80%,1,
1412,пермь сковородка блинная,70%,нет,37%,0,
1413,тамбов берлогово,70%,нет,30%,-1,
1414,магнит доставка продуктов,10%,да,48%,0,
1415,lambic,0%,нет,19%,-1,
1416,share ресторан,40%,да,17%,-1,
1417,саратов пицца,90%,нет,62%,0,
1418,тануки краснодар,90%,нет,44%,0,
1419,букет цветов сколько стоит,90%,да,98%,1,
1420,доставка круглосуточно суши,90%,да,78%,1,
1421,кинешма автосуши,60%,нет,37%,0,
1422,купить пельмени,30%,да,89%,1,
1423,wahaha,0%,нет,8%,-1,
1424,доставка 2 берега,0%,нет,22%,-1,
1425,токио рамен,60%,да,22%,-1,
1426,ашан каталог тюмень,50%,нет,97%,1,
1427,сургут галерея суши,80%,нет,40%,0,
1428,ебидаеби суши,40%,да,33%,-1,
1429,доставка шампурико,20%,да,36%,0,
1430,кфс пермь,80%,нет,31%,-1,
1431,кофе хауз,50%,да,29%,-1,
1432,sushi wok,40%,да,22%,-1,
1433,мама рома меню и цены спб,80%,нет,65%,0,
1434,мяса хочу,0%,нет,29%,-1,
1435,пицца виват мытищи,70%,нет,29%,-1,
1436,джон джоли кафе официальный сайт,0%,нет,38%,0,
1437,здрасте кафе,40%,да,23%,-1,
1438,кфс доставка новосибирск,90%,нет,64%,0,
1439,суши японский домик,10%,да,46%,0,
1440,старый баку,50%,да,23%,-1,
1441,гедонист ресторан,60%,да,38%,0,
1442,между булок,0%,нет,16%,-1,
1443,еда яндекс спб,50%,нет,27%,-1,
1444,тюмень бургер кинг,90%,нет,68%,1,
1445,антрекот иркутск,70%,нет,37%,0,
1446,папа джонс нижний новгород,100%,нет,45%,0,
1447,доставка улан удэ еды,100%,нет,68%,1,
1448,доставка марчеллис,0%,нет,54%,0,
1449,заказать пироги осетинские,80%,да,85%,1,
1450,бургер кинг красноярск,80%,нет,59%,0,
1451,доставка еды махачкала,90%,нет,68%,1,
1452,перчини сургут,90%,нет,36%,0,
1453,сургут перчини,90%,нет,36%,0,
1454,волконский кондитерская,80%,да,28%,-1,
1455,воронеж пицца гусь,80%,нет,53%,0,
1456,белгород потапыч,80%,нет,42%,0,
1457,ролл энд вок,30%,да,38%,0,
1458,i like wine,0%,нет,28%,-1,
1459,гранд буфет киров,70%,нет,31%,-1,
1460,пельмени купить домашние,70%,да,87%,1,
1461,пельмени домашние купить,60%,да,79%,1,
1462,dominos pizza,30%,да,15%,-1,
1463,сушивок в москве доставка,40%,нет,43%,0,
1464,пицца четырехэтажная,10%,да,22%,-1,
1465,ресторан butler,60%,да,36%,0,
1466,дача кафе,60%,да,30%,-1,
1467,джаганнат,0%,нет,8%,-1,
1468,soul in the bowl,0%,нет,22%,-1,
1469,нори лист,0%,нет,44%,0,
1470,сочи плакучая ива ресторан,90%,нет,29%,-1,
1471,ресторан восход зарядье,50%,да,35%,0,
1472,суши вок москва,70%,нет,30%,-1,
1473,пицца ташир доставка,50%,да,57%,0,
1474,суши вок уфа,70%,нет,29%,-1,
1475,ресторан лес липецк,80%,нет,51%,0,
1476,by basta gorilla,0%,нет,18%,-1,
1477,яндекс доставка новосибирск,60%,нет,59%,0,
1478,хаус кебаб,80%,да,44%,0,
1479,sushi wok pizza,50%,да,34%,-1,
1480,кур крыло спб,30%,нет,36%,0,
1481,три пирога,80%,да,63%,0,
1482,колбаса сервелат,0%,нет,48%,0,
1483,вкусно и точка ульяновск,80%,нет,36%,0,
1484,поддержка яндекс еда телефон,0%,нет,22%,-1,
1485,суши фабрика,20%,да,37%,0,
1486,романо,30%,да,75%,1,
1487,роллы краснодар с доставкой,70%,нет,84%,1,
1488,эклерная клер,50%,да,15%,-1,
1489,папа джонс екатеринбург,100%,нет,53%,0,
1490,флорентини ресторан,60%,да,29%,-1,
1491,раковарня хвосты и клешни,0%,нет,19%,-1,
1492,горячие роллы,40%,да,43%,0,
1493,мясное шоу тула,80%,нет,36%,0,
1494,роллы заказать в екатеринбурге с доставкой,100%,нет,99%,1,
1495,суши калуга,100%,нет,86%,1,
1496,ресторан молоко,60%,да,22%,-1,
1497,оренбург вкусно и точка,70%,нет,45%,0,
1498,павлин мавлин,0%,нет,18%,-1,
1499,шаурмания,0%,нет,19%,-1,
1500,суши белгород,100%,нет,80%,1,
1501,москва вкусно и точка,40%,нет,42%,0,
1502,челентано орел,0%,нет,29%,-1,
1503,смоленск яки паки,90%,нет,38%,0,
1504,д яндекс,0%,нет,11%,-1,
1505,мерцен калуга,70%,нет,30%,-1,
1506,заказать продукты на дом,50%,да,100%,1,
1507,пиццу купить,90%,да,81%,1,
1508,рядом пицца,100%,да,66%,1,
1509,москва кафе пушкин,60%,нет,22%,-1,
1510,кфс томск,80%,нет,54%,0,
1511,яндекс яда,0%,нет,23%,-1,
1512,яндекс еда доставка екатеринбург,80%,нет,55%,0,
1513,омск пицца,100%,нет,72%,1,
1514,саратов доставка еды,100%,нет,71%,1,
1515,без рецепта,0%,нет,16%,-1,
1516,ресторан эларджи,60%,да,45%,0,
1517,ресторан фаренгейт,60%,да,36%,0,
1518,ткемали ресторан в москве,60%,нет,40%,0,
1519,суши хит,0%,нет,54%,0,
1520,шаурма дарксайд,0%,нет,23%,-1,
1521,панда роллы,50%,да,64%,0,
1522,спб два берега,80%,нет,39%,0,
1523,бургер кинг новосибирск,70%,нет,45%,0,
1524,чука воронеж роллы,90%,нет,55%,0,
1525,кафе серф,60%,да,22%,-1,
1526,денди пицца,20%,да,39%,0,
1527,темпура роллы,10%,да,54%,0,
1528,суши запеченные,0%,нет,37%,0,
1529,sushi,80%,да,60%,0,
1530,купить спаржа,40%,да,99%,1,
1531,грибы белые купить,60%,да,99%,1,
1532,купить роллы,100%,да,100%,1,
1533,ресторан кристалл спб,70%,нет,37%,0,
1534,фазенда великий новгород,100%,нет,52%,0,
1535,купить шоколад,30%,да,92%,1,
1536,буковский гриль екатеринбург,60%,нет,30%,-1,
1537,пармезан калининград,60%,нет,36%,0,
1538,мама нори,20%,да,46%,0,
1539,лига шашлыков,70%,да,55%,0,
1540,купить грецкий орех,90%,да,100%,1,
1541,хорошая компания,30%,да,28%,-1,
1542,оливка доставка еды новосибирск,70%,нет,77%,1,
1543,чико меню,60%,да,42%,0,
1544,белок саратов,80%,нет,16%,-1,
1545,армавир жар пицца,100%,нет,39%,0,
1546,8956 хотдожная,100%,да,23%,-1,
1547,папаша клаусс санкт петербург,70%,нет,29%,-1,
1548,меню андерсон,0%,нет,82%,1,
1549,чиполучо самара,70%,нет,30%,-1,
1550,москва осетинские пироги,80%,нет,79%,1,
1551,шаурма маркет,10%,да,21%,-1,
1552,цена маскарпоне,50%,да,89%,1,
1553,pronto,60%,да,29%,-1,
1554,рязань вкусвилл,90%,нет,62%,0,
1555,калуга мимино,90%,нет,49%,0,
1556,сакура суши в новосибирске,50%,нет,38%,0,
1557,купить арбуз,70%,да,90%,1,
1558,тандыр рубцовск,80%,нет,31%,-1,
1559,кфс новосибирск меню и цены,50%,нет,99%,1,
1560,тверь друзья ресторан,80%,нет,36%,0,
1561,цех этого города краснодар,100%,нет,30%,-1,
1562,мамамия в туле,90%,нет,38%,0,
1563,пицца фабрика чебоксары,70%,нет,18%,-1,
1564,тануки екатеринбург,90%,нет,51%,0,
1565,ебидоеби доставка,50%,да,34%,-1,
1566,кофе симпл,30%,да,43%,0,
1567,рязань доставка еды,100%,нет,63%,0,
1568,шеш беш владимир,60%,нет,17%,-1,
1569,ресторан инжир брянск,40%,нет,30%,-1,
1570,ваще огонь самара,50%,нет,22%,-1,
1571,ликер воронеж,90%,нет,53%,0,
1572,новосибирск kfc,80%,нет,53%,0,
1573,вокер,0%,нет,10%,-1,
1574,пицца crazy brothers,30%,да,47%,0,
1575,доставка кореана,20%,да,56%,0,
1576,шаверлэнд,0%,нет,29%,-1,
1577,доски самара бар,80%,нет,37%,0,
1578,купить манго,60%,да,100%,1,
1579,яйца перепелиные купить,50%,да,99%,1,
1580,club burger,40%,да,22%,-1,
1581,33 пингвина,40%,да,35%,0,
1582,суши матча,50%,да,23%,-1,
1583,том ям новосибирск бар,50%,нет,38%,0,
1584,пенза самурай роллы,90%,нет,31%,-1,
1585,пицца ташир ярославль,100%,нет,40%,0,
1586,bro n,0%,нет,23%,-1,
1587,еда яндекс нижний новгород,60%,нет,48%,0,
1588,суши мейк в новосибирске,60%,нет,57%,0,
1589,бирма кемерово,80%,нет,40%,0,
1590,оренбург пицца,100%,нет,71%,1,
1591,хочу пельмени чебоксары,70%,нет,29%,-1,
1592,время есть,40%,да,46%,0,
1593,вкусно и точка яндекс еда,0%,нет,37%,0,
1594,гриль куры,40%,да,26%,-1,
1595,суши доставка санкт петербург,100%,нет,100%,1,
1596,улыбка радуги уфа каталог,40%,нет,80%,1,
1597,крафт бургер хабаровск,90%,нет,37%,0,
1598,заказ роллы,100%,да,100%,1,
1599,маскарпоне сыр цена,50%,да,89%,1,
1600,суши изи,20%,да,30%,-1,
1601,seazone воронеж,80%,нет,41%,0,
1602,суши казань,100%,нет,75%,1,
1603,мороженое купить,70%,да,100%,1,
1604,москва якитория,100%,нет,44%,0,
1605,мука и рис,20%,да,24%,-1,
1606,соус шрирача купить,10%,да,99%,1,
1607,волгоград кфс,90%,нет,52%,0,
1608,григо,0%,нет,8%,-1,
1609,мясо кролика купить,70%,да,99%,1,
1610,астрахань ресторан белуга,80%,нет,22%,-1,
1611,хаб суши новокузнецк,90%,нет,43%,0,
1612,хаси суши,10%,да,20%,-1,
1613,экспресс шаурма владикавказ,80%,нет,42%,0,
1614,сколько стоит тыква,0%,нет,95%,1,
1615,тыква сколько стоит,0%,нет,85%,1,
1616,ресторан дюна реутов,70%,нет,37%,0,
1617,гриль торо,70%,да,29%,-1,
1618,караваевы,40%,да,29%,-1,
1619,ташир пицца калуга,100%,нет,37%,0,
1620,самурай саранск,90%,нет,26%,-1,
1621,кфс хабаровск,60%,нет,44%,0,
1622,москва ресторан техникум,60%,нет,44%,0,
1623,инжир купить,30%,да,99%,1,
1624,ресторан мамука белгород,80%,нет,28%,-1,
1625,батони,0%,нет,22%,-1,
1626,купить питахайя,50%,да,99%,1,
1627,тесто дрожжевое слоеное купить,30%,да,92%,1,
1628,устрицы купить,90%,да,88%,1,
1629,пицца дока,70%,да,45%,0,
1630,меню хлеб насущный,0%,нет,61%,0,
1631,оренбург морская корова,90%,нет,54%,0,
1632,пицца виват измайлово,50%,да,30%,-1,
1633,мятные конфеты,20%,да,51%,0,
1634,пироги осетинские спб,90%,нет,80%,1,
1635,папа джонс спб,80%,нет,23%,-1,
1636,цех краснодар,80%,нет,26%,-1,
1637,чисто ростовский бар,40%,да,30%,-1,
1638,купить грибы,50%,да,100%,1,
1639,шашлыков омск,90%,нет,45%,0,
1640,ресторан тройка,80%,да,44%,0,
1641,доставка на дом,50%,да,74%,1,
1642,суши роллы заказать,100%,да,100%,1,
1643,хочу харчо,0%,нет,37%,0,
1644,патари,0%,нет,24%,-1,
1645,ашан воронеж каталог,40%,нет,99%,1,
1646,токио бай,0%,нет,33%,-1,
1647,якитория щелково,0%,нет,44%,0,
1648,тбилисоба,0%,нет,0%,-1,
1649,пицца zotman,40%,да,68%,1,
1650,рожок мороженое,40%,да,87%,1,
1651,j pan,0%,нет,8%,-1,
1652,доставка на дом вкусвилл,20%,да,44%,0,
1653,мясоруб,0%,нет,37%,0,
1654,ресторан sapiens,50%,да,30%,-1,
1655,тануки меню ресторана цены,70%,да,99%,1,
1656,мир пиццы нижний,0%,нет,23%,-1,
1657,пермь суши лайф,90%,нет,45%,0,
1658,мультифрукт сок,0%,нет,76%,1,
1659,хлебник пекарня спб,40%,нет,22%,-1,
1660,леопицца,0%,нет,39%,0,
1661,хорошие руки рязань,60%,нет,34%,-1,
1662,мороженое торт купить,40%,да,99%,1,
1663,купить говяжьи щечки,40%,да,100%,1,
1664,якитория меню ресторана цены,60%,да,74%,1,
1665,1ff,0%,нет,23%,-1,
1666,меню доски,0%,нет,40%,0,
1667,доставка милти,30%,да,63%,0,
1668,торт народный кондитер купить в москве,10%,нет,58%,0,
1669,бабл ти в москве купить,10%,нет,66%,1,
1670,пицца мия доставка,30%,да,48%,0,
1671,суши уфа доставка,90%,нет,64%,0,
1672,магнитогорск сергейс пицца,80%,нет,37%,0,
1673,шашлыкофф казань,100%,нет,36%,0,
1674,24 express pizza,60%,да,44%,0,
1675,бахор,30%,да,49%,0,
1676,суши бро,20%,да,61%,0,
1677,продукты заказать,30%,да,99%,1,
1678,чайковский кафе,60%,да,29%,-1,
1679,крафт бургер,60%,да,39%,0,
1680,доставка пицца миа екатеринбург,80%,нет,62%,0,
1681,сытый папа,30%,да,29%,-1,
1682,пермь доставка роллы,100%,нет,81%,1,
1683,рокнроллы набережные,0%,нет,26%,-1,
1684,chang,0%,нет,9%,-1,
1685,яндекс продукты,0%,нет,37%,0,
1686,орел суши,0%,нет,99%,1,
1687,тануки самара,80%,нет,36%,0,
1688,суши бокс ульяновск заказать,100%,нет,59%,0,
1689,кфс рядом со мной,0%,нет,17%,-1,
1690,бабл ти купить,50%,да,75%,1,
1691,заказать торт на день рождения,80%,да,100%,1,
1692,купить чизкейк,70%,да,99%,1,
1693,доставка метро продуктов на дом,40%,да,56%,0,
1694,доставка токио,40%,да,49%,0,
1695,кинто,0%,нет,21%,-1,
1696,даблби,0%,нет,7%,-1,
1697,гиробар,0%,нет,44%,0,
1698,арахисовая паста купить,30%,да,99%,1,
1699,ресторан гудман,60%,да,29%,-1,
1700,пицца фиеста уфа,70%,нет,30%,-1,
1701,воронеж хинкальная,90%,нет,44%,0,
1702,пицца москва доставка,90%,нет,68%,1,
1703,красный дракон екатеринбург доставка роллов,100%,нет,55%,0,
1704,купить булгур,10%,да,89%,1,
1705,купить мороженое баскин роббинс,40%,да,100%,1,
1706,огни баку,80%,да,30%,-1,
1707,обед нн нижний новгород,90%,нет,44%,0,
1708,бенни китчен белгород,90%,нет,40%,0,
1709,суши ниндзя,0%,нет,30%,-1,
1710,крылья кфс,10%,да,18%,-1,
1711,суши белгород катана,90%,нет,50%,0,
1712,суши катана белгород,90%,нет,50%,0,
1713,купить масло топленое,20%,да,82%,1,
1714,вкусно и точка ярославль,90%,нет,36%,0,
1715,новосибирск вкусно и точка,10%,нет,38%,0,
1716,фаст суши нижний новгород,90%,нет,39%,0,
1717,вкусно и точка пенза,70%,нет,43%,0,
1718,про хинкали сочи,90%,нет,29%,-1,
1719,евразия спб меню,60%,нет,76%,1,
1720,ульяновск доставка еды,90%,нет,74%,1,
1721,доставка кфс красноярск,80%,нет,62%,0,
1722,ростов роллы,70%,нет,89%,1,
1723,морепродукты купить,50%,да,87%,1,
1724,уфа тануки,100%,нет,52%,0,
1725,доски воронеж бар,100%,нет,43%,0,
1726,омск кфс доставка,80%,нет,99%,1,
1727,вокер озтп,0%,нет,30%,-1,
1728,штефан бургер ростов на дону,60%,нет,30%,-1,
1729,конфеты желейные,10%,да,73%,1,
1730,квс меню,20%,да,56%,0,
1731,нью йорк пицца новосибирск,70%,нет,47%,0,
1732,курьер яндекс работа,30%,да,19%,-1,
1733,донна оливия,0%,нет,22%,-1,
1734,кинза доставка ижевск,100%,нет,55%,0,
1735,бар луч,40%,да,25%,-1,
1736,яндекс доставка нижний новгород,80%,нет,73%,1,
1737,пермь суфра,80%,нет,40%,0,
1738,ricca pizza,10%,да,24%,-1,
1739,моккано суши,50%,да,48%,0,
1740,харакири новосибирск доставка,90%,нет,52%,0,
1741,омск рамен с уткой,20%,нет,38%,0,
1742,пад тай ростов на дону,80%,нет,44%,0,
1743,лилия золотая,0%,нет,32%,-1,
1744,мирель,10%,да,70%,1,
1745,от палыча торты каталог,30%,да,99%,1,
1746,омар хайям тюмень,80%,нет,44%,0,
1747,суши моккано,50%,да,56%,0,
1748,мука ржаная купить,50%,да,99%,1,
1749,8956 москва,100%,нет,29%,-1,
1750,товары пятерочка,20%,да,86%,1,
1751,санкт петербург столовая 1,80%,нет,29%,-1,
1752,самарканд кафе,30%,да,39%,0,
1753,пивовар,20%,да,15%,-1,
1754,ресторан биосфера калуга,90%,нет,36%,0,
1755,мюллер старина,50%,да,31%,-1,
1756,купить вяленые томаты,0%,нет,88%,1,
1757,баранья корейка,0%,нет,7%,-1,
1758,кот суши,10%,да,27%,-1,
1759,вкусно и точка тюмень,40%,нет,40%,0,
1760,москва чико рико,90%,нет,29%,-1,
1761,каталог кфс,30%,да,83%,1,
1762,дом пиццы,50%,да,58%,0,
1763,дакота саранск,90%,нет,46%,0,
1764,му му кафе,50%,да,22%,-1,
1765,оренбург суши,80%,нет,61%,0,
1766,пицца dominos,40%,да,24%,-1,
1767,катана суши белгород,90%,нет,49%,0,
1768,линдфорс пироги,0%,нет,32%,-1,
1769,мэджик ролл,0%,нет,45%,0,
1770,бар том ям екатеринбург,70%,нет,31%,-1,
1771,сет роллов,10%,да,80%,1,
1772,суши мастер заказать тюмень,80%,нет,65%,0,
1773,колесо киров,70%,нет,29%,-1,
1774,папа джонс красноярск,100%,нет,44%,0,
1775,меню марчеллис,0%,нет,39%,0,
1776,молотая корица,0%,нет,79%,1,
1777,ресторан тбилиси тула,80%,нет,37%,0,
1778,тимс пицца,0%,нет,27%,-1,
1779,фарфор рязань,90%,нет,37%,0,
1780,ресторан дебри брянск,80%,нет,37%,0,
1781,рыбный день новосибирск каталог товаров цены,100%,нет,65%,0,
1782,куркрыло доставка спб,20%,нет,37%,0,
1783,меню макдак,10%,да,89%,1,
1784,корица купить,30%,да,100%,1,
1785,вкусно и точка рязань,50%,нет,36%,0,
1786,френдс кафе,60%,да,30%,-1,
1787,nagoya,0%,нет,21%,-1,
1788,русские блины оренбург,100%,нет,36%,0,
1789,кафе отдых уфа,80%,нет,30%,-1,
1790,шоколадница москва меню,50%,нет,71%,1,
1791,лео пицца,10%,да,52%,0,
1792,пицца мокко,20%,да,31%,-1,
1793,шаурма мировая ставрополь,80%,нет,39%,0,
1794,рязань римские каникулы,70%,нет,29%,-1,
1795,роллы фудзияма,40%,да,85%,1,
1796,йошкар ола вкусно и точка,80%,нет,37%,0,
1797,вива рома,10%,да,22%,-1,
1798,самара шашлык хаус,80%,нет,47%,0,
1799,торт панчо купить,40%,да,100%,1,
1800,заказать бургеры,40%,да,93%,1,
1801,доставка пенза роллы,100%,нет,92%,1,
1802,pho bo,0%,нет,30%,-1,
1803,лобня твоя пицца,70%,нет,47%,0,
1804,полукопченая колбаса,30%,да,80%,1,
1805,япона матрена,0%,нет,27%,-1,
1806,магнит ассортимент,30%,да,76%,1,
1807,дом суши железнодорожный,50%,нет,31%,-1,
1808,майбокс липецк,60%,нет,37%,0,
1809,пицца замороженная,40%,да,79%,1,
1810,шоколад черный,50%,да,87%,1,
1811,каталог глобус рязань,60%,нет,88%,1,
1812,купить желатин,50%,да,100%,1,
1813,старик хинкалыч белгород,90%,нет,44%,0,
1814,яндекс подработка,0%,нет,9%,-1,
1815,важная рыба спб,50%,нет,34%,-1,
1816,шашлык 72 доставка тюмень,50%,нет,50%,0,
1817,суши край,0%,нет,48%,0,
1818,урюк меню,0%,нет,85%,1,
1819,тула доставка еды,100%,нет,76%,1,
1820,шаурма киров,90%,нет,50%,0,
1821,ресторан казбек москва,60%,нет,29%,-1,
1822,как дома,0%,нет,14%,-1,
1823,суаре тюмень доставка,80%,нет,65%,0,
1824,авокадо купить,40%,да,89%,1,
1825,додо пицца санкт петербург заказать с доставкой,80%,нет,39%,0,
1826,вкусно и точка тула,90%,нет,37%,0,
1827,суши роллы доставка,100%,да,72%,1,
1828,bro n ресторан,0%,нет,29%,-1,
1829,доставка пиццы круглосуточная,90%,да,71%,1,
1830,русалочка суши нижний новгород,90%,нет,37%,0,
1831,колбасов,50%,да,24%,-1,
1832,франк ресторан спб,60%,нет,37%,0,
1833,имунеле,0%,нет,52%,0,
1834,цена доширак,20%,да,100%,1,
1835,киров мука и рис,60%,нет,26%,-1,
1836,шашлыков барнаул,90%,нет,44%,0,
1837,план б нижний новгород ресторан,80%,нет,30%,-1,
1838,нижний новгород вкусно и точка меню,10%,нет,81%,1,
1839,кафе шоколад,60%,да,30%,-1,
1840,пипяо,0%,нет,23%,-1,
1841,суши екатеринбург доставка,80%,нет,100%,1,
1842,ролл вок,40%,да,41%,0,
1843,суши волгоград,80%,нет,79%,1,
1844,чико кафе,40%,да,23%,-1,
1845,много мяса,0%,нет,37%,0,
1846,свиная рулька купить,0%,нет,92%,1,
1847,суши дом балашиха,80%,нет,27%,-1,
1848,калининград кафе круассан,70%,нет,29%,-1,
1849,бардак кафе,50%,да,22%,-1,
1850,пушкино пицца,80%,нет,73%,1,
1851,шашлыкофф кемерово,100%,нет,43%,0,
1852,оливер ресторан челябинск,60%,нет,38%,0,
1853,самые дешевые и вкусные роллы,80%,да,62%,0,
1854,пить вино есть хинкали,0%,нет,17%,-1,
1855,кфс сургут,80%,нет,46%,0,
1856,ростов на дону лондон паб,60%,нет,35%,0,
1857,суши край воронеж,100%,нет,46%,0,
1858,пироги с доставкой осетинские,50%,да,93%,1,
1859,пиццы додо,0%,нет,30%,-1,
1860,липецк вобла,80%,нет,44%,0,
1861,чукка,30%,да,51%,0,
1862,вилкобар в чебоксарах,90%,нет,38%,0,
1863,фастфуды,0%,нет,9%,-1,
1864,шинок ресторан,50%,да,37%,0,
1865,доставка еды липецк,100%,нет,61%,0,
1866,тесто фило купить в москве,10%,нет,92%,1,
1867,суши мастер ханты мансийск,70%,нет,44%,0,
1868,чайхона вологда,90%,нет,29%,-1,
1869,шануар,60%,да,30%,-1,
1870,невиновных нет,0%,нет,9%,-1,
1871,тодасе,0%,нет,11%,-1,
1872,хинкали заказать,0%,нет,100%,1,
1873,суши есть,50%,да,48%,0,
1874,тануки ресторан,60%,да,29%,-1,
1875,шашлычный мир,0%,нет,73%,1,
1876,ресторан шинок москва,40%,нет,30%,-1,
1877,сушин сын,0%,нет,50%,0,
1878,самара доставка еды,100%,нет,62%,0,
1879,куркума киров,90%,нет,43%,0,
1880,burger king меню,20%,да,79%,1,
1881,пино,50%,да,29%,-1,
1882,сергиев посад марио пицца,90%,нет,38%,0,
1883,шашлык заказать с доставкой в москве,60%,нет,74%,1,
1884,яндекс гоу доставка,0%,нет,37%,0,
1885,вкусно и точка спб,50%,нет,43%,0,
1886,ямато астрахань,90%,нет,44%,0,
1887,суши мастер краснодар,80%,нет,39%,0,
1888,ava ресторан москва,60%,нет,27%,-1,
1889,нарды яндекс,0%,нет,20%,-1,
1890,гречневые хлебцы,30%,да,76%,1,
1891,доставка yandex,0%,нет,52%,0,
1892,ижевск бургер кинг,90%,нет,44%,0,
1893,кафе легенда,70%,да,37%,0,
1894,нори водоросли,0%,нет,32%,-1,
1895,шашлыков новосибирск меню и цены,90%,нет,82%,1,
1896,яндекс го доставка,0%,нет,37%,0,
1897,доставка вина на дом москва,70%,нет,98%,1,
1898,перчини белгород,80%,нет,15%,-1,
1899,ермолино доставка,0%,нет,50%,0,
1900,купить шашлык,100%,да,81%,1,
1901,теремок кафе,50%,да,29%,-1,
1902,redbox,60%,да,44%,0,
1903,честный стейк ярославль,50%,нет,22%,-1,
1904,чизерия казань,70%,нет,36%,0,
1905,доставка еды кемерово,90%,нет,68%,1,
1906,сэндвичи купить готовые,60%,да,100%,1,
1907,новосибирск перчини,80%,нет,36%,0,
1908,рыба закусывала уфа,90%,нет,53%,0,
1909,хурма сургут,90%,нет,45%,0,
1910,вкусно и точка ставрополь,80%,нет,35%,0,
1911,вилко бар,0%,нет,34%,-1,
1912,овертайм калуга,100%,нет,45%,0,
1913,папа джонс меню,60%,да,62%,0,
1914,уют кафе,40%,да,38%,0,
1915,ресторан икра брянск,90%,нет,36%,0,
1916,ева ресторан москва,70%,нет,37%,0,
1917,какао купить,50%,да,92%,1,
1918,перчини новосибирск,80%,нет,43%,0,
1919,udc,0%,нет,15%,-1,
1920,сушишоп в спб,80%,нет,66%,1,
1921,суши вок краснодар,60%,нет,30%,-1,
1922,москва шоколадница,50%,нет,29%,-1,
1923,паста вилла,70%,да,43%,0,
1924,13 ресторан,75%,да,32%,-1,
1925,бар бла бла москва,70%,нет,29%,-1,
1926,додр,0%,нет,14%,-1,
1927,хинкали доставка,70%,да,99%,1,
1928,купить чак чак,0%,нет,88%,1,
1929,кафе китсуне,30%,да,23%,-1,
1930,сура суши зеленоград,0%,нет,33%,-1,
1931,роллы рядом,100%,да,70%,1,
1932,тула глобус каталог товаров и цены,60%,нет,88%,1,
1933,доставка ангарск еды,80%,нет,74%,1,
1934,пицца доставка екатеринбург,100%,нет,78%,1,
