#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
3050,лор калуга детский,90%,нет,72%,1,
3051,эксперт плюс казань на чистопольской,90%,нет,59%,0,
3052,эко центр москва,90%,нет,58%,0,
3053,перово поликлиника ржд,70%,да,49%,0,
3054,гинеколог репродуктолог,80%,да,57%,0,
3055,стоматология в мытищах,90%,нет,97%,1,
3056,кардиолог тула,90%,нет,93%,1,
3057,батайск железнодорожная больница,80%,нет,0%,-1,
3058,чебоксары кожно венерологический диспансер,90%,нет,56%,0,
3059,урицкого поликлиника гатчина,90%,нет,0%,-1,
3060,узи гинекологическое иркутск,90%,нет,60%,0,
3061,уролог калуга,90%,нет,82%,1,
3062,казань аллерголог,100%,нет,58%,0,
3063,медкнижка казань,80%,нет,65%,0,
3064,киров маммолог,100%,нет,72%,1,
3065,гнатолог краснодар,80%,нет,73%,1,
3066,краснодар рашпилевская 31 стоматология,90%,нет,51%,0,
3067,нейрохирург курск,80%,нет,66%,1,
3068,детская поликлиника луга,0%,нет,3%,-1,
3069,3 диагностический центр,70%,да,0%,-1,
3070,детская поликлиника семашко,40%,да,0%,-1,
3071,поликлиника 4 детская мытищи,60%,нет,47%,0,
3072,стоматология нерюнгри,100%,нет,76%,1,
3073,скорая помощь ростов на дону,80%,нет,41%,0,
3074,остеопат самара,90%,нет,50%,0,
3075,косметолог сочи,100%,нет,62%,0,
3076,про докторов ставрополь официальный сайт,70%,нет,49%,0,
3077,невролог стерлитамак,100%,нет,64%,0,
3078,архангельск гинеколог,100%,нет,67%,1,
3079,роддом 2 брянск,80%,нет,35%,0,
3080,4 женская консультация иваново,100%,нет,63%,0,
3081,эндокринолог гинеколог казань,100%,нет,65%,0,
3082,офтальмолог кемерово,100%,нет,80%,1,
3083,киров офтальмолог,100%,нет,80%,1,
3084,курск клиника семейной пары,80%,нет,35%,0,
3085,продокторов москва сайт официальный,40%,нет,14%,-1,
3086,травматолог новосибирск,100%,нет,65%,0,
3087,пермь ревматолог,100%,нет,74%,1,
3088,псков поликлиника 2,50%,нет,31%,-1,
3089,саратов маммолог,100%,нет,77%,1,
3090,психиатр спб детский,100%,нет,73%,1,
3091,поликлиника 5 вьюжная тюмень,100%,нет,57%,0,
3092,мануальный терапевт тюмень,90%,нет,65%,0,
3093,мрт в улан удэ цены,100%,нет,92%,1,
3094,психотерапевт владивосток,100%,нет,95%,1,
3095,нефролог казань,90%,нет,76%,1,
3096,краснодар скорая,90%,нет,44%,0,
3097,психотерапевт курск,100%,нет,91%,1,
3098,роды мать и дитя,30%,да,46%,0,
3099,16 мкр стоматология нефтеюганск,80%,нет,42%,0,
3100,косметолог пенза,100%,нет,70%,1,
3101,дерматолог ростов,70%,нет,66%,1,
3102,гематолог ростов на дону,100%,нет,87%,1,
3103,продокторов симферополь,0%,нет,27%,-1,
3104,детский невролог сургут,100%,нет,72%,1,
3105,тамбов лор клиника на рылеева,100%,нет,60%,0,
3106,тольятти мирта,70%,нет,62%,0,
3107,лор тверь,100%,нет,77%,1,
3108,терапевт тюмень,100%,нет,55%,0,
3109,детский лор ульяновск,90%,нет,57%,0,
3110,стоматолог ульяновск,100%,нет,71%,1,
3111,про докторов официальный сайт ярославль,60%,нет,29%,-1,
3112,хабаровск психотерапевт,90%,нет,83%,1,
3113,иркутск детский дерматолог,100%,нет,73%,1,
3114,стоматология областная калининград,60%,нет,49%,0,
3115,новомед магнитогорск цены на услуги,80%,нет,83%,1,
3116,степана разина стоматология миасс,100%,нет,56%,0,
3117,детские неврологи,90%,да,49%,0,
3118,венерологи,80%,да,43%,0,
3119,мрт орел,0%,нет,60%,0,
3120,самара терапевт,90%,нет,68%,1,
3121,поленова институт нейрохирургии официальный сайт спб,50%,нет,0%,-1,
3122,остеопат санкт петербург,100%,нет,61%,0,
3123,тихорецк стоматология,100%,нет,77%,1,
3124,сахапов аллерголог,0%,нет,2%,-1,
3125,великий новгород стоматология 1,60%,нет,57%,0,
3126,апатиты доктор,0%,нет,16%,-1,
3127,областная больница платное отделение архангельск,70%,нет,76%,1,
3128,клиника маханова в белгороде,70%,нет,52%,0,
3129,стоматолог 32,20%,да,37%,0,
3130,калуга терапевт,100%,нет,77%,1,
3131,здоровье семьи казань юго западная,100%,нет,0%,-1,
3132,кемерово ортопед,100%,нет,66%,1,
3133,детский кардиолог краснодар,100%,нет,87%,1,
3134,2 поликлиника детская телефон,80%,да,0%,-1,
3135,6 гор больница,0%,нет,2%,-1,
3136,68 поликлиника детская,63%,да,45%,0,
3137,остеопат в нижнем новгороде,70%,нет,43%,0,
3138,новороссийск лор,100%,нет,64%,0,
3139,клиника яковлева омск,50%,нет,54%,0,
3140,сарниито нии травматологии и ортопедии официальный сайт,0%,нет,7%,-1,
3141,сызрань узи,60%,нет,72%,1,
3142,детский лор тюмень,90%,нет,71%,1,
3143,про докторов ульяновск официальный сайт,80%,нет,56%,0,
3144,клиника нева ульяновск рябикова 75,80%,нет,43%,0,
3145,ярославль кардиолог,100%,нет,80%,1,
3146,белгород терапевт,100%,нет,73%,1,
3147,медэксперт на пражской калининград,100%,нет,63%,0,
3148,колоноскопия в красноярске под наркозом цена,60%,нет,97%,1,
3149,люберцы поликлиника 6,83%,нет,28%,-1,
3150,гашека медсвисс,80%,да,50%,0,
3151,стоматолог имплантолог москва,90%,нет,50%,0,
3152,невролог нижневартовск,90%,нет,50%,0,
3153,пенза офтальмолог,100%,нет,78%,1,
3154,поликлиника 4 петрозаводск детская,80%,нет,0%,-1,
3155,ильдар варагушин саратов,70%,нет,0%,-1,
3156,эксперт таганрог,80%,нет,72%,1,
3157,детская стоматология владивосток на суханова,80%,нет,49%,0,
3158,поликлиника 7 детская воронеж,80%,нет,0%,-1,
3159,узи ярославль,90%,нет,96%,1,
3160,альфа центр здоровья ярославль ленинградский,90%,нет,60%,0,
3161,флюорография барнаул,90%,нет,81%,1,
3162,психоневрологический диспансер барнаул,80%,нет,49%,0,
3163,ортопед белгород,100%,нет,63%,0,
3164,бор стоматология,60%,нет,54%,0,
3165,продокторов брянск,70%,нет,29%,-1,
3166,пластический хирург челябинск,90%,нет,51%,0,
3167,клин зубопротезист,100%,нет,78%,1,
3168,про докторов кострома,100%,нет,64%,0,
3169,городская больница no 7,50%,да,0%,-1,
3170,23 больница на таганке,50%,да,0%,-1,
3171,поликлиника 9 набережные челны,0%,нет,8%,-1,
3172,мой малыш нефтеюганск,90%,нет,0%,-1,
3173,детский ортопед нижний новгород,80%,нет,55%,0,
3174,нижний новгород институт травматологии и ортопедии,60%,нет,64%,0,
3175,авторская стоматология ростов на дону,100%,нет,63%,0,
3176,тверь ревматолог,90%,нет,82%,1,
3177,авицена клинико диагностический центр тюмень,90%,нет,56%,0,
3178,владикавказ мрт,80%,нет,60%,0,
3179,всеволожск центр здоровья,80%,нет,56%,0,
3180,ярославль ревматолог,100%,нет,57%,0,
3181,терапевт ярославль,100%,нет,65%,0,
3182,пластический хирург екатеринбург,90%,нет,69%,1,
3183,педиатр казань,100%,нет,76%,1,
3184,женская консультация междуреченск,80%,нет,56%,0,
3185,гинеколог доктор,100%,да,68%,1,
3186,гкб 10,70%,да,36%,0,
3187,40 роддом,60%,да,0%,-1,
3188,клиника нервных болезней на россолимо,50%,да,0%,-1,
3189,мурманск гастроэнтеролог,90%,нет,71%,1,
3190,набережные челны маммолог,0%,нет,38%,0,
3191,областная больница смирновское ущелье саратов,60%,нет,35%,0,
3192,слепцов илья валерьевич хирург эндокринолог,0%,нет,12%,-1,
3193,воронеж остеопат,100%,нет,58%,0,
3194,аллерголог екатеринбург,100%,нет,73%,1,
3195,екатеринбург ортодонт,100%,нет,72%,1,
3196,лор курск,100%,нет,76%,1,
3197,горбольница 7,70%,да,0%,-1,
3198,отзывы роддом 8,70%,да,0%,-1,
3199,территория улыбки,0%,нет,12%,-1,
3200,поликлиника на мира детская,60%,да,42%,0,
3201,центр узи мурманск,90%,нет,49%,0,
3202,стоматология нижний новгород автозаводский район на кирова,100%,нет,77%,1,
3203,ревматолог в ростове на дону,80%,нет,65%,0,
3204,2 поликлиника рязань официальный сайт,80%,нет,0%,-1,
3205,детская поликлиника 14 самара,40%,нет,0%,-1,
3206,25 крб,0%,нет,5%,-1,
3207,флеболог тольятти,100%,нет,73%,1,
3208,психиатр тула,100%,нет,91%,1,
3209,хирург тверь,100%,нет,76%,1,
3210,канон стоматология йошкар ола,100%,нет,77%,1,
3211,зеленоград дерматолог,0%,нет,43%,0,
3212,белгород наркологический диспансер,50%,нет,0%,-1,
3213,белгород семейная стоматология,80%,нет,50%,0,
3214,перинатальный центр брянск бежица,70%,нет,21%,-1,
3215,гематолог екатеринбург,80%,нет,63%,0,
3216,маммолог иваново,100%,нет,90%,1,
3217,поликлиника 9 ижевск,56%,нет,53%,0,
3218,гинекология казань,100%,нет,78%,1,
3219,женская консультация кемерово,90%,нет,65%,0,
3220,курск психиатр,100%,нет,91%,1,
3221,курск ревматолог,90%,нет,85%,1,
3222,узи омск,100%,нет,65%,0,
3223,областная детская больница орел,0%,нет,11%,-1,
3224,мрт петрозаводск цены,80%,нет,90%,1,
3225,самара ревматолог,80%,нет,64%,0,
3226,14 поликлиника саранск,100%,нет,0%,-1,
3227,саратов 9 гор больница,57%,нет,21%,-1,
3228,северск детская поликлиника,100%,нет,73%,1,
3229,стоматология тула на зорге,90%,нет,56%,0,
3230,вологда невролог взрослый,100%,нет,65%,0,
3231,волжский гинеколог,90%,нет,65%,0,
3232,волжский невролог,100%,нет,73%,1,
3233,анапа гинеколог,90%,нет,85%,1,
3234,стоматология балабаново,80%,нет,59%,0,
3235,офтальмолог детский челябинск,90%,нет,71%,1,
3236,кранэкс иваново стоматология цены,60%,нет,75%,1,
3237,2 поликлиника красногорск,70%,нет,0%,-1,
3238,липецк детский дерматолог,80%,нет,70%,1,
3239,2 городская поликлиника детская,80%,да,0%,-1,
3240,нейрохирург пермь,100%,нет,88%,1,
3241,саров стоматология,90%,нет,68%,1,
3242,психолог сочи,100%,нет,78%,1,
3243,больницы санкт петербурга,100%,нет,54%,0,
3244,тверь детский лор,90%,нет,70%,1,
3245,психолог во владимире,100%,нет,84%,1,
3246,волгоград флюорография,100%,нет,81%,1,
3247,ярославль поликлиника 3,75%,нет,56%,0,
3248,кардиолог детский челябинск,90%,нет,73%,1,
3249,остеопат челябинск,100%,нет,50%,0,
3250,ижевск проктолог,80%,нет,75%,1,
3251,казань детский стоматолог,100%,нет,56%,0,
3252,детский ортопед липецк,80%,нет,95%,1,
3253,иммунолог отзывы,100%,да,64%,0,
3254,сексолог отзывы,30%,да,18%,-1,
3255,московская больница,100%,нет,62%,0,
3256,продокторов мурманск,80%,нет,43%,0,
3257,гастроэнтеролог мытищи,100%,нет,92%,1,
3258,пульмонолог в нижнем новгороде,70%,нет,58%,0,
3259,ортопед детский новокузнецк,90%,нет,70%,1,
3260,диетолог онлайн,0%,нет,18%,-1,
3261,кожвендиспансер ростов на дону баумана 70 официальный сайт,90%,нет,49%,0,
3262,филиппского больница ставрополь,50%,нет,48%,0,
3263,маммолог ставрополь,100%,нет,50%,0,
3264,про докторов тольятти официальный сайт,70%,нет,41%,0,
3265,детский стоматолог тверь,90%,нет,71%,1,
3266,белореченск детская поликлиника,100%,нет,0%,-1,
3267,строительная больница чебоксары,60%,нет,35%,0,
3268,дегтярск ультралаб,100%,нет,49%,0,
3269,кемерово проктолог,100%,нет,73%,1,
3270,кострома мирт инженерный переулок,60%,нет,36%,0,
3271,детский эндокринолог москва,90%,нет,67%,1,
3272,пнд 21,60%,да,0%,-1,
3273,поликлиника 37 нижний новгород автозаводский район,88%,нет,43%,0,
3274,пенза пионерская 4 стоматология,100%,нет,57%,0,
3275,гастроэнтеролог ростов на дону детский,100%,нет,86%,1,
3276,клиника глазная саратов,90%,нет,61%,0,
3277,гинеколог стерлитамак,100%,нет,70%,1,
3278,тамбов кардиолог,100%,нет,90%,1,
3279,1 поликлиника тамбов,80%,нет,0%,-1,
3280,волгоград 5 роддом,70%,нет,21%,-1,
3281,маммолог вологда,70%,нет,60%,0,
3282,астрахань уролог,90%,нет,63%,0,
3283,центр здоровья азов толстого,20%,да,17%,-1,
3284,клиника ривер барнаул,50%,нет,28%,-1,
3285,флеболог екатеринбург,90%,нет,52%,0,
3286,про докторов казань сайт официальный,60%,нет,29%,-1,
3287,жд больница курск,90%,нет,49%,0,
3288,маммолог курск,100%,нет,80%,1,
3289,чеснокова кристина алексеевна липецк кардиолог,90%,нет,69%,1,
3290,кузнецов сергей александрович,30%,да,14%,-1,
3291,ортопед травматолог в нижнем новгороде,70%,нет,62%,0,
3292,нижний новгород травматолог,100%,нет,72%,1,
3293,узи оренбург,90%,нет,74%,1,
3294,пенза женская консультация,90%,нет,63%,0,
3295,рыбинск детская стоматология,90%,нет,69%,1,
3296,клокова тамбов узи,80%,нет,42%,0,
3297,2 женская консультация тверь,90%,нет,49%,0,
3298,невролог взрослый тверь,100%,нет,71%,1,
3299,мрт в тюмени адреса цены,100%,нет,79%,1,
3300,великий новгород гинеколог,100%,нет,65%,0,
3301,офтальмолог брянск,100%,нет,78%,1,
3302,чита железнодорожная больница,90%,нет,52%,0,
3303,кардиолог кемерово,100%,нет,73%,1,
3304,клиника тургеневская краснодар,80%,нет,44%,0,
3305,роддом 5 краснодар официальный сайт,80%,нет,28%,-1,
3306,стоматология курск идеал,70%,нет,57%,0,
3307,поликлиника 74,71%,да,0%,-1,
3308,медис клиника,80%,да,52%,0,
3309,59 дпо,75%,да,0%,-1,
3310,алтуфьево стоматология,0%,нет,17%,-1,
3311,гармония находка медцентр,70%,нет,50%,0,
3312,медицинский центр нижний новгород,100%,нет,72%,1,
3313,новосибирск ортодонт,90%,нет,70%,1,
3314,клиника семейная рязань врачи,80%,нет,57%,0,
3315,ленинский травмпункт саратов,90%,нет,66%,1,
3316,шахты детская стоматология,0%,нет,20%,-1,
3317,узи ставрополь,80%,нет,61%,0,
3318,медэксперт воронеж ленинский проспект 148,100%,нет,58%,0,
3319,узи абакан,100%,нет,85%,1,
3320,детская стоматология астрахань,100%,нет,68%,1,
3321,мануальный терапевт кемерово,90%,нет,50%,0,
3322,нейрохирург липецк,80%,нет,58%,0,
3323,колода юлия алексеевна,0%,нет,5%,-1,
3324,новосибирск хирург,100%,нет,77%,1,
3325,11 больница новосибирск,70%,нет,38%,0,
3326,детский кардиолог спб,80%,нет,91%,1,
3327,лор тула,100%,нет,73%,1,
3328,лор уфа детский,100%,нет,80%,1,
3329,ярославль косметолог,100%,нет,61%,0,
3330,здоровье заречный клиника,80%,нет,53%,0,
3331,маммолог барнаул,90%,нет,59%,0,
3332,стоматология белебей,100%,нет,70%,1,
3333,череповец эндокринолог,100%,нет,66%,1,
3334,невролог чита,90%,нет,51%,0,
3335,сходня поликлиника,10%,да,7%,-1,
3336,нарус медцентр химки,80%,нет,69%,1,
3337,флюорография калининград,80%,нет,61%,0,
3338,здоровье семьи гвардейская,0%,нет,10%,-1,
3339,казань сосудистый хирург,80%,нет,82%,1,
3340,записаться к врачу гинекологу,70%,да,63%,0,
3341,кардиолог отзывы,100%,да,64%,0,
3342,клиника no 1,50%,да,46%,0,
3343,ахметшин айрат миннегадиянович,0%,нет,2%,-1,
3344,гинеколог нижневартовск,100%,нет,63%,0,
3345,нижний тагил женская консультация,70%,нет,42%,0,
3346,терапевт пермь,100%,нет,80%,1,
3347,рязань ревматолог,90%,нет,68%,1,
3348,смоленск уролог,100%,нет,91%,1,
3349,косметолог санкт петербург,100%,нет,64%,0,
3350,4 городская больница ставрополь,90%,нет,0%,-1,
3351,клиника пограничных состояний ставрополь,100%,нет,56%,0,
3352,томск психиатр,90%,нет,73%,1,
3353,центр бойко волгоград,60%,нет,39%,0,
3354,мрт в воронеже,100%,нет,85%,1,
3355,стоматология новая усмань,80%,нет,54%,0,
3356,продокторов анапа,90%,нет,50%,0,
3357,астрахань гастроэнтеролог,90%,нет,66%,1,
3358,дерматолог череповец,90%,нет,64%,0,
3359,киселева алена каменск уральский,70%,нет,0%,-1,
3360,ревматолог киров,90%,нет,67%,1,
3361,краснодар аллерголог,100%,нет,77%,1,
3362,запись к врачу урологу,80%,да,73%,1,
3363,гастроэнтеролог детский нижний новгород,80%,нет,97%,1,
3364,про докторов орел,0%,нет,6%,-1,
3365,априори мед саранск,90%,нет,50%,0,
3366,стоматология серпухов авиценна,70%,нет,50%,0,
3367,детская поликлиника петроградского района 14,0%,нет,7%,-1,
3368,лор детский тольятти,100%,нет,64%,0,
3369,кардиолог во владимире,100%,нет,77%,1,
3370,семейная медицина владимир,50%,нет,50%,0,
3371,стоматология вологда на батюшкова,80%,нет,52%,0,
3372,про докторов астрахань,90%,нет,56%,0,
3373,дерматолог астрахань,90%,нет,66%,1,
3374,белореченск стоматология,80%,нет,65%,0,
3375,глазная клиника ессентуки,90%,нет,56%,0,
3376,мсч 4,10%,да,3%,-1,
3377,иркутск лор,100%,нет,64%,0,
3378,детский психолог киров,80%,нет,69%,1,
3379,эндокринолог хирург,70%,да,50%,0,
3380,горбольница 6,80%,да,36%,0,
3381,медси полянка,0%,нет,3%,-1,
3382,больница гражданской авиации,60%,да,51%,0,
3383,онколог уролог,70%,да,68%,1,
3384,александрия на краснодонцев,0%,нет,32%,-1,
3385,акушер ростов на дону,100%,нет,64%,0,
3386,ростов на дону ниап,80%,нет,49%,0,
3387,симферополь психотерапевт,0%,нет,45%,0,
3388,эндокринолог сочи,100%,нет,58%,0,
3389,проктолог тула,90%,нет,95%,1,
3390,52 поликлиника уфа,90%,нет,0%,-1,
3391,стоматолог владимир,100%,нет,66%,1,
3392,флеболог волгоград,80%,нет,66%,1,
3393,волгоград невролог взрослый,100%,нет,72%,1,
3394,мрт в вологде,100%,нет,70%,1,
3395,поликлиника жуковский детская,90%,нет,66%,1,
3396,поликлиника на милютина детская,0%,нет,19%,-1,
3397,пульс елец медицинский,80%,нет,37%,0,
3398,иваново детская поликлиника 1,80%,нет,0%,-1,
3399,кострома гастроэнтеролог,90%,нет,58%,0,
3400,скц фмба красноярск,60%,нет,0%,-1,
3401,стоматологическая поликлиника 1 на петра смородина липецк,70%,нет,53%,0,
3402,гинеколог эндокринолог отзывы,80%,да,48%,0,
3403,сфера офтальмологическая клиника,60%,да,69%,1,
3404,щур антон николаевич невролог отзывы,0%,нет,3%,-1,
3405,проктолог томск,100%,нет,73%,1,
3406,тюмень хирург,100%,нет,73%,1,
3407,гастроэнтеролог уфа детский,100%,нет,77%,1,
3408,мрт в ульяновске адреса и цены,10%,нет,84%,1,
3409,1 поликлиника вологда детская благовещенская,50%,нет,0%,-1,
3410,здоровье мц ярославль,80%,нет,49%,0,
3411,косметология чебоксары,80%,нет,56%,0,
3412,мрт в чите адреса и цены,100%,нет,84%,1,
3413,лор калининград,100%,нет,57%,0,
3414,дерматолог краснодар взрослый,100%,нет,66%,1,
3415,краснодар детский психиатр,100%,нет,95%,1,
3416,квд кутузовский проспект,80%,да,77%,1,
3417,стоматология отрадное,100%,нет,77%,1,
3418,дерматолог мурманск,100%,нет,73%,1,
3419,женская консультация мытищи,80%,нет,47%,0,
3420,детский ортопед пермь,80%,нет,59%,0,
3421,бест клиник ростов на дону,90%,нет,9%,-1,
3422,рязань узи сердца,70%,нет,85%,1,
3423,глазная клиника в самаре,80%,нет,51%,0,
3424,мрт в саратове адреса и цены,20%,нет,79%,1,
3425,саратов мануальный терапевт,100%,нет,57%,0,
3426,смоленск диамед,80%,нет,37%,0,
3427,хирург спб,90%,нет,58%,0,
3428,ортопед ставрополь,100%,нет,58%,0,
3429,эндокринолог гинеколог тюмень,100%,нет,65%,0,
3430,трихолог ульяновск,100%,нет,65%,0,
3431,гастроэнтеролог владикавказ,100%,нет,66%,1,
3432,волгоград узи,100%,нет,69%,1,
3433,вологда проктолог,90%,нет,92%,1,
3434,воронеж поликлиника 6,100%,нет,63%,0,
3435,стоматология железногорск красноярский край,90%,нет,64%,0,
3436,центр глазной хирургии альметьевск,80%,нет,53%,0,
3437,доктор плюс в дербенте,80%,нет,39%,0,
3438,перинатальный центр казань ркб,70%,нет,53%,0,
3439,окб поликлиника,40%,да,0%,-1,
3440,посоветуйте гастроэнтеролога в москве,80%,нет,64%,0,
3441,сосудистый хирург в москве,60%,нет,47%,0,
3442,дерматолог детский нижний новгород,100%,нет,90%,1,
3443,мануальный терапевт в нижнем новгороде,40%,нет,33%,-1,
3444,невролог детский оренбург,100%,нет,72%,1,
3445,гастроэнтеролог псков,90%,нет,60%,0,
3446,мрт в томске адреса цены,100%,нет,73%,1,
3447,аэлита туапсе клиника,90%,нет,59%,0,
3448,маммолог тула,100%,нет,94%,1,
3449,детский офтальмолог тюмень,90%,нет,83%,1,
3450,психолог детский волгоград,100%,нет,64%,0,
3451,воронеж узи сердца,90%,нет,83%,1,
3452,детский дерматолог ярославль,90%,нет,96%,1,
3453,лотос медицинский центр златоуст,100%,нет,69%,1,
3454,брянск проктолог,100%,нет,93%,1,
3455,детский невролог чебоксары,90%,нет,64%,0,
3456,мрт черкесск,90%,нет,70%,1,
3457,гастроэнтеролог иркутск взрослый,100%,нет,65%,0,
3458,иваново 5 женская консультация,60%,нет,37%,0,
3459,дерматолог казань взрослый,100%,нет,61%,0,
3460,городская больница 3 краснодар,40%,нет,31%,-1,
3461,меделла лангепас,70%,нет,50%,0,
3462,невролог детский магнитогорск,100%,нет,72%,1,
3463,клиника столица на арбате,40%,да,35%,0,
3464,забота клиника,60%,да,44%,0,
3465,стоматология оренбург гая 13,90%,нет,70%,1,
3466,офтальмолог детский пенза,90%,нет,66%,1,
3467,доктор сан пенза,80%,нет,71%,1,
3468,гастроэнтеролог подольск,100%,нет,66%,1,
3469,пятигорск дерматолог,100%,нет,64%,0,
3470,призвание клиника самара ерошевского 20,70%,нет,61%,0,
3471,армед сочи медицинский центр,90%,нет,43%,0,
3472,поликлиника на инструментальной таганрог,70%,нет,49%,0,
3473,тюмень областной офтальмологический диспансер,70%,нет,51%,0,
3474,психиатр владивосток,90%,нет,78%,1,
3475,челюстно лицевой хирург воронеж,100%,нет,74%,1,
3476,ярославль детский психолог,80%,нет,50%,0,
3477,ортопед белгород детский,100%,нет,64%,0,
3478,неврологическая клиника белгород,80%,нет,44%,0,
3479,мрт братск,90%,нет,52%,0,
3480,стоматология брянск советский район,100%,нет,64%,0,
3481,чебоксары психиатрическая больница,50%,нет,35%,0,
3482,детская стоматология энгельс,90%,нет,76%,1,
3483,гусь хрустальный детская поликлиника,80%,нет,59%,0,
3484,стоматология хабаровск детская,100%,нет,81%,1,
3485,лор хабаровск,100%,нет,72%,1,
3486,новая стоматология красноуфимск,90%,нет,64%,0,
3487,мрт липецк цены и адреса,100%,нет,69%,1,
3488,мрт в набережных челнах,0%,нет,53%,0,
3489,психотерапевт набережные челны,0%,нет,48%,0,
3490,нижний тагил дерматолог,100%,нет,73%,1,
3491,эндокринолог гинеколог в новосибирске,70%,нет,65%,0,
3492,офтальмолог омск,90%,нет,67%,1,
3493,продокторов пенза официальный сайт,50%,нет,36%,0,
3494,саратов поликлиника 7,89%,нет,0%,-1,
3495,океан стоматология севастополь,0%,нет,22%,-1,
3496,симферополь детская стоматология,0%,нет,53%,0,
3497,старый оскол ева медцентр ленина,90%,нет,68%,1,
3498,трихолог тольятти,100%,нет,58%,0,
3499,нефролог уфа,90%,нет,95%,1,
3500,сурдолог уфа,90%,нет,73%,1,
3501,мануальный терапевт владивосток,90%,нет,77%,1,
3502,йошкар ола гинеколог,100%,нет,72%,1,
3503,брянск психотерапевт,90%,нет,92%,1,
3504,детский хирург екатеринбург,90%,нет,71%,1,
3505,рентген в краснодаре,80%,нет,52%,0,
3506,скинерика краснодар,50%,нет,35%,0,
3507,магас айболит,70%,нет,54%,0,
3508,нейрохирургия в москве бурденко цены,50%,нет,85%,1,
3509,про докторов мурманск,100%,нет,72%,1,
3510,дерматолог нижневартовск,100%,нет,73%,1,
3511,больница 34 новосибирск,63%,нет,21%,-1,
3512,терапевт омск,100%,нет,73%,1,
3513,детский лор пермь,90%,нет,65%,0,
3514,онколог ростов на дону,100%,нет,65%,0,
3515,прайм роуз на савушкина,0%,нет,4%,-1,
3516,незабудка стоматология йошкар ола,90%,нет,79%,1,
3517,астрахань эндокринолог,90%,нет,54%,0,
3518,детская поликлиника белореченск,100%,нет,0%,-1,
3519,стоматология брянск фокинский район,100%,нет,63%,0,
3520,чебоксары узи сердца,100%,нет,74%,1,
3521,продокторов ру калуга,80%,нет,42%,0,
3522,клиника зарождение киров,70%,нет,46%,0,
3523,курск кардиолог,100%,нет,74%,1,
3524,про докторов магнитогорск,90%,нет,65%,0,
3525,междуреченск детская поликлиника шахтеров,90%,нет,57%,0,
3526,врач гнатолог в москве,70%,нет,75%,1,
3527,медпрайм,0%,нет,8%,-1,
3528,психоневрологический диспансер красносельского района,30%,да,0%,-1,
3529,сомнолог отзывы,70%,да,44%,0,
3530,омск клиника сибирь,70%,нет,39%,0,
3531,пермь травматолог,100%,нет,73%,1,
3532,саратов психоневрологический диспансер,80%,нет,49%,0,
3533,кардиолог смоленск,100%,нет,87%,1,
3534,линия здоровья клиника смоленск,90%,нет,68%,1,
3535,больница 5 таганрог,100%,нет,49%,0,
3536,радуга стоматология томск,100%,нет,65%,0,
3537,лор томск,90%,нет,57%,0,
3538,узи владикавказ,90%,нет,71%,1,
3539,владикавказ невролог,100%,нет,65%,0,
3540,волгоград кардиолог,100%,нет,65%,0,
3541,лор воронеж взрослый,100%,нет,61%,0,
3542,зерноград мрт,100%,нет,42%,0,
3543,барнаул травмпункт,80%,нет,49%,0,
3544,стоматология губкин,90%,нет,69%,1,
3545,уролог казань для мужчин,100%,нет,72%,1,
3546,медика киреевск,90%,нет,50%,0,
3547,4 роддом отзывы,100%,да,21%,-1,
3548,синай клиника москва,70%,нет,33%,-1,
3549,детский стационар,60%,да,61%,0,
3550,лор мытищи,90%,нет,58%,0,
3551,фгдс в нижнем новгороде цены,30%,нет,88%,1,
3552,аскеров асиф васифович,0%,нет,0%,-1,
3553,стоматология сергиев посад жемчужина,80%,нет,58%,0,
3554,ставрополь гематолог,100%,нет,90%,1,
3555,терапевт тверь,100%,нет,77%,1,
3556,детский офтальмолог уфа,100%,нет,63%,0,
3557,стоматолог вологда,100%,нет,58%,0,
3558,детский психиатр воронеж,90%,нет,89%,1,
3559,дзержинск дерматолог,100%,нет,64%,0,
3560,мрт в хабаровске адреса и цены,10%,нет,80%,1,
3561,7 женская консультация иваново,80%,нет,49%,0,
3562,женская консультация 3 иваново,50%,нет,25%,-1,
3563,ижевск маммолог,100%,нет,77%,1,
3564,лор ижевск,100%,нет,58%,0,
3565,2 ркб,0%,нет,7%,-1,
3566,курск стомтек,80%,нет,49%,0,
3567,он клиник отзывы,40%,да,0%,-1,
3568,оренбург косметология,80%,нет,66%,1,
3569,петрозаводск гинеколог,90%,нет,66%,1,
3570,про докторов ростов на дону официальный,70%,нет,36%,0,
3571,14 поликлиника выборгского района спб,100%,нет,49%,0,
3572,нейропсихолог спб,70%,нет,43%,0,
3573,маммолог тольятти,100%,нет,66%,1,
3574,гастроэнтеролог тверь детский,90%,нет,83%,1,
3575,психолог уфа отзывы и цены,100%,нет,83%,1,
3576,стоматология горького детская вологда,100%,нет,56%,0,
3577,вологда сосудистый хирург,80%,нет,93%,1,
3578,воронеж мрт головного мозга,80%,нет,84%,1,
3579,гинеколог балашиха,100%,нет,98%,1,
3580,челябинск медицинский центр,100%,нет,73%,1,
3581,узи элиста,90%,нет,57%,0,
3582,подрезково поликлиника,0%,нет,3%,-1,
3583,дерматолог кемерово жупикова,100%,нет,57%,0,
3584,офтальмолог краснодар детский,90%,нет,81%,1,
